objectid,zone,st_areashape,st_perimetershape
1,A,26598791.0797066,1350168.02531637
2,CA,7446201.65241576,1628642.94011575
3,V,22446079.4135763,1492214.76666547
4,A,9126165.62237793,936529.852741102
5,CA,13778626.5216726,1179124.41299516
6,V,60828509.7443956,872495.901845166
7,A,540269.088297842,214595.141362071
8,V,4569321.72153137,225009.277207228
9,CA,587597.375290326,202087.545073605
10,A,2911000.17367129,856168.495702716
11,CA,3063301.73543185,820331.827064993
12,V,11328663.1330564,754286.759389372
13,CA,2045011.30956055,584850.472798092
14,A,858943.937766227,474184.809086495
15,V,17612295.6775952,513590.964145507
16,CA,23354933.1157901,4734417.30840344
17,A,21500728.6189189,3655017.31054969
18,V,77583271.0293422,2787714.9045149
