X,Y,objectid,facility_name,facility_type,licensee,address,city,state,island,phone,license_num,license_exp,males,females,capacity,amb_type,wheelchair_appr,diet_type
-157.864657406015,21.3440714936576,1,3 J's,Type I Expanded Adult Residential Care Home,Geronimo Castillo,1624 Perry Street,Honolulu,Hawaii,Oahu,8088486592,1334-C,2022/07/31 00:00:00+00,2,1,5,Ambulatory,Yes,Special
-157.947627473806,21.3877875547986,2,808 Adult Residential Care Home/Expanded Care LLC,Type I Expanded Adult Residential Care Home,Novelyn Llarenas,98-209 Kanuku Street,Aiea,Hawaii,Oahu,8086999865,1344-C,2022/08/31 00:00:00+00,0,1,5,Ambulatory,Yes,Special
-157.93442434628,21.3826049987489,3,888 Adult Residential Care Home,Type I Expanded Adult Residential Care Home,Victor Laforteza,98-550 Kaamilo Street,Aiea,Hawaii,Oahu,8088883559,1647-C,2022/03/31 00:00:00+00,,,5,,No,
-155.064845846891,19.6869192968099,4,A & C Care Home,Type I Expanded Adult Residential Care Home,Armando Tabile,2294 Awapuhi Street,Hilo,Hawaii,Big Island,8082098308,1554-C,2022/08/31 00:00:00+00,5,1,5,Ambulatory,Yes,Special
-158.035510912296,21.4955904871877,5,A Better Living,Type I Expanded Adult Residential Care Home,Mary Ann McMurray,83 Kilani Avenue,Wahiawa,Hawaii,Oahu,8086218635,1244-C,2022/02/28 00:00:00+00,4,4,5,Ambulatory,Yes,Special
-157.920622621087,21.3667834491437,6,A.C.T.G. Gallegos IV,Type I Expanded Adult Residential Care Home,Teofista Gallegos,1530 Piikea Street,Honolulu,Hawaii,Oahu,8084238808,1341-C,2022/06/30 00:00:00+00,1,1,5,Ambulatory,Yes,Special
-157.998048552999,21.3936198041332,7,A.M.A. Care Home LLC,Type I Expanded Adult Residential Care Home,Abigail Aganon,94-392 Kahuanani Street,Waipahu,Hawaii,Oahu,8086765473,1611-C,2022/06/30 00:00:00+00,5,5,5,Ambulatory,Yes,Regular
-157.926891328168,21.3606446226786,8,AAA Care Home,Type I  Adult Residential Care Home,Melita Manalang,4368 Laakea Street,Honolulu,Hawaii,Oahu,8082057131,1606-C,2022/05/31 00:00:00+00,5,5,5,Fully Ambulatory,Yes,Special
-157.958132201799,21.3876788927898,9,"Abad, Edna",Type I  Adult Residential Care Home,Edna Abad,98-312 Kaluamoi Drive,Pearl City,Hawaii,Oahu,8084871080,1135-C,2022/07/31 00:00:00+00,2,0,4,Fully Ambulatory,No,Special
-158.009708269191,21.3920772007771,10,Abbie's,Type I Expanded Adult Residential Care Home,Florecita Peralta,94-579 Apii Place,Waipahu,Hawaii,Oahu,8086769349,479-C,2022/08/31 00:00:00+00,0,1,5,Ambulatory,No,Special
