"GEO_ID","NAME","B99241_001E","B99241_002E","B99241_003E",
"Geography","Geographic Area Name","Estimate!!Total:","Estimate!!Total:!!Allocated","Estimate!!Total:!!Not Allocated",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","657","11","646",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","323","0","323",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","529","55","474",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","274","24","250",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","355","36","319",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","423","23","400",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","325","103","222",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","671","25","646",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","517","69","448",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","613","97","516",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","353","36","317",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","630","36","594",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","231","37","194",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","688","33","655",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","488","69","419",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","518","18","500",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","367","33","334",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","428","18","410",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","695","125","570",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","1095","138","957",
