"GEO_ID","NAME","B99241_001E","B99241_002E","B99241_003E",
"Geography","Geographic Area Name","Estimate!!Total:","Estimate!!Total:!!Allocated","Estimate!!Total:!!Not Allocated",
"1500000US150010201001","Block Group 1; Census Tract 201; Hawaii County; Hawaii","639","21","618",
"1500000US150010201002","Block Group 2; Census Tract 201; Hawaii County; Hawaii","325","14","311",
"1500000US150010201003","Block Group 3; Census Tract 201; Hawaii County; Hawaii","677","87","590",
"1500000US150010201004","Block Group 4; Census Tract 201; Hawaii County; Hawaii","541","132","409",
"1500000US150010202021","Block Group 1; Census Tract 202.02; Hawaii County; Hawaii","320","45","275",
"1500000US150010202022","Block Group 2; Census Tract 202.02; Hawaii County; Hawaii","439","74","365",
"1500000US150010203001","Block Group 1; Census Tract 203; Hawaii County; Hawaii","550","263","287",
"1500000US150010203002","Block Group 2; Census Tract 203; Hawaii County; Hawaii","476","36","440",
"1500000US150010203003","Block Group 3; Census Tract 203; Hawaii County; Hawaii","642","100","542",
"1500000US150010204001","Block Group 1; Census Tract 204; Hawaii County; Hawaii","575","26","549",
"1500000US150010204002","Block Group 2; Census Tract 204; Hawaii County; Hawaii","403","56","347",
"1500000US150010204003","Block Group 3; Census Tract 204; Hawaii County; Hawaii","524","32","492",
"1500000US150010205001","Block Group 1; Census Tract 205; Hawaii County; Hawaii","305","8","297",
"1500000US150010205002","Block Group 2; Census Tract 205; Hawaii County; Hawaii","379","73","306",
"1500000US150010205003","Block Group 3; Census Tract 205; Hawaii County; Hawaii","662","214","448",
"1500000US150010205004","Block Group 4; Census Tract 205; Hawaii County; Hawaii","340","2","338",
"1500000US150010206001","Block Group 1; Census Tract 206; Hawaii County; Hawaii","462","44","418",
"1500000US150010206002","Block Group 2; Census Tract 206; Hawaii County; Hawaii","480","72","408",
"1500000US150010206003","Block Group 3; Census Tract 206; Hawaii County; Hawaii","771","162","609",
"1500000US150010206004","Block Group 4; Census Tract 206; Hawaii County; Hawaii","1373","211","1162",
"1500000US150010207011","Block Group 1; Census Tract 207.01; Hawaii County; Hawaii","1118","143","975",
"1500000US150010207012","Block Group 2; Census Tract 207.01; Hawaii County; Hawaii","551","109","442",
"1500000US150010207013","Block Group 3; Census Tract 207.01; Hawaii County; Hawaii","660","55","605",
"1500000US150010207021","Block Group 1; Census Tract 207.02; Hawaii County; Hawaii","762","170","592",
"1500000US150010207022","Block Group 2; Census Tract 207.02; Hawaii County; Hawaii","992","89","903",
"1500000US150010207023","Block Group 3; Census Tract 207.02; Hawaii County; Hawaii","646","19","627",
"1500000US150010208011","Block Group 1; Census Tract 208.01; Hawaii County; Hawaii","790","48","742",
"1500000US150010208012","Block Group 2; Census Tract 208.01; Hawaii County; Hawaii","1378","143","1235",
"1500000US150010208013","Block Group 3; Census Tract 208.01; Hawaii County; Hawaii","512","143","369",
"1500000US150010208021","Block Group 1; Census Tract 208.02; Hawaii County; Hawaii","649","182","467",
"1500000US150010208022","Block Group 2; Census Tract 208.02; Hawaii County; Hawaii","194","66","128",
"1500000US150010208023","Block Group 3; Census Tract 208.02; Hawaii County; Hawaii","1178","315","863",
"1500000US150010208024","Block Group 4; Census Tract 208.02; Hawaii County; Hawaii","380","11","369",
"1500000US150010208025","Block Group 5; Census Tract 208.02; Hawaii County; Hawaii","638","42","596",
"1500000US150010209001","Block Group 1; Census Tract 209; Hawaii County; Hawaii","407","132","275",
"1500000US150010209002","Block Group 2; Census Tract 209; Hawaii County; Hawaii","702","157","545",
"1500000US150010209003","Block Group 3; Census Tract 209; Hawaii County; Hawaii","573","75","498",
"1500000US150010209004","Block Group 4; Census Tract 209; Hawaii County; Hawaii","334","77","257",
"1500000US150010209005","Block Group 5; Census Tract 209; Hawaii County; Hawaii","649","51","598",
"1500000US150010210031","Block Group 1; Census Tract 210.03; Hawaii County; Hawaii","412","27","385",
"1500000US150010210032","Block Group 2; Census Tract 210.03; Hawaii County; Hawaii","488","62","426",
"1500000US150010210033","Block Group 3; Census Tract 210.03; Hawaii County; Hawaii","901","39","862",
