"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","977","114","3","4","2","3","64","34","55","32","215","74","190","45","164","51","148","50","84","88","52","22",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","454","101","4","7","0","11","99","75","92","53","56","32","25","19","8","9","12","11","64","24","94","60",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","272","76","0","11","0","11","41","39","15","24","22","24","139","50","10","15","3","5","0","11","42","40",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","464","86","11","17","0","11","14","18","55","35","35","28","44","32","67","30","43","22","75","40","120","51",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","247","52","0","11","25","31","11","11","80","35","61","33","23","26","22","22","5","9","20","19","0","11",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","477","66","0","11","4","6","43","25","22","14","20","16","146","35","34","23","37","20","32","20","139","70",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","268","57","0","11","0","11","27","30","24","24","10","16","56","38","46","36","20","23","66","41","19","24",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","679","128","0","11","0","11","0","11","92","74","181","87","231","88","36","37","50","52","0","11","89","47",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","988","118","0","11","0","11","52","38","152","90","130","78","67","41","290","126","84","52","129","80","84","60",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","450","145","0","11","0","11","0","11","110","88","0","11","124","71","58","40","104","69","0","11","54","46",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","313","97","0","11","28","44","0","11","81","54","26","42","31","24","0","11","64","56","75","88","8","14",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","486","141","11","18","22","39","57","43","35","41","118","74","153","66","68","54","22","28","0","11","0","11",
"1500000US150010204004","Block Group 4, Census Tract 204, Hawaii County, Hawaii","332","95","9","14","0","11","12","14","39","44","46","43","138","68","13","16","60","54","0","11","15","27",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","496","139","0","11","0","11","17","28","65","80","15","30","325","125","46","41","0","11","0","11","28","34",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","216","85","0","11","0","11","18","31","51","52","34","60","15","24","17","28","0","11","0","11","81","55",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","355","156","0","11","0","11","14","22","16","26","29","45","98","82","13","21","167","132","0","11","18","29",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","677","176","0","11","14","32","0","11","84","81","80","84","158","116","198","157","67","81","58","53","18","29",
"1500000US150010205005","Block Group 5, Census Tract 205, Hawaii County, Hawaii","786","151","33","39","0","11","51","34","109","72","104","70","206","109","154","127","106","79","0","11","23","37",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","556","71","0","11","0","11","20","18","37","41","53","35","252","81","115","70","19","19","51","49","9","12",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","536","71","5","5","14","8","80","21","106","25","76","21","45","18","107","45","78","60","16","15","9","6",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","348","36","0","11","7","6","55","19","48","15","54","18","113","25","7","9","32","14","17","13","15","13",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","725","62","0","11","16","15","139","33","154","31","92","42","176","62","84","32","42","23","12","10","10","11",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","1077","114","0","11","9","14","189","77","116","59","43","34","215","96","167","67","133","82","114","80","91","65",
"1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii","457","92","16","23","43","62","13","20","65","57","34","30","62","40","45","35","64","60","21","24","94","59",
"1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii","506","94","0","11","0","11","69","59","11","17","133","40","94","65","132","64","43","25","24","33","0","11",
"1500000US150010207021","Block Group 1, Census Tract 207.02, Hawaii County, Hawaii","569","88","0","11","0","11","29","45","128","61","194","69","188","64","30","24","0","11","0","11","0","11",
"1500000US150010207022","Block Group 2, Census Tract 207.02, Hawaii County, Hawaii","908","97","9","14","33","41","44","43","86","58","291","94","305","97","61","48","61","62","0","11","18","20",
"1500000US150010207023","Block Group 3, Census Tract 207.02, Hawaii County, Hawaii","484","65","10","15","0","11","36","22","46","38","71","41","209","68","29","23","54","28","29","45","0","11",
"1500000US150010208011","Block Group 1, Census Tract 208.01, Hawaii County, Hawaii","1070","116","49","67","45","51","139","41","288","97","138","65","292","76","25","22","23","26","45","31","26","26",
"1500000US150010208012","Block Group 2, Census Tract 208.01, Hawaii County, Hawaii","558","69","0","11","0","11","87","43","129","73","174","59","118","43","50","39","0","11","0","11","0","11",
"1500000US150010208021","Block Group 1, Census Tract 208.02, Hawaii County, Hawaii","570","108","17","28","16","25","62","52","1","2","96","87","63","52","128","83","102","82","48","57","37","45",
"1500000US150010208022","Block Group 2, Census Tract 208.02, Hawaii County, Hawaii","878","128","0","11","37","41","140","98","254","135","147","99","92","58","63","49","90","66","55","51","0","11",
"1500000US150010208023","Block Group 3, Census Tract 208.02, Hawaii County, Hawaii","231","64","0","11","0","11","0","11","21","33","17","27","43","42","100","59","17","29","17","27","16","24",
"1500000US150010208024","Block Group 4, Census Tract 208.02, Hawaii County, Hawaii","912","137","0","11","13","20","81","65","118","82","154","88","149","79","136","104","207","109","54","69","0","11",
"1500000US150010209001","Block Group 1, Census Tract 209, Hawaii County, Hawaii","367","81","0","11","0","11","42","32","40","45","64","37","90","53","88","70","17","21","26","36","0","11",
"1500000US150010209002","Block Group 2, Census Tract 209, Hawaii County, Hawaii","581","92","0","11","0","11","52","38","121","66","74","56","289","97","32","28","0","11","13","21","0","11",
"1500000US150010209003","Block Group 3, Census Tract 209, Hawaii County, Hawaii","927","107","21","24","18","27","180","64","274","83","110","64","190","71","36","31","52","31","33","24","13","19",
"1500000US150010210031","Block Group 1, Census Tract 210.03, Hawaii County, Hawaii","752","140","69","57","0","11","195","110","172","118","284","90","32","35","0","11","0","11","0","11","0","11",
"1500000US150010210032","Block Group 2, Census Tract 210.03, Hawaii County, Hawaii","650","135","0","11","0","11","238","115","131","61","193","84","61","43","27","34","0","11","0","11","0","11",
"1500000US150010210033","Block Group 3, Census Tract 210.03, Hawaii County, Hawaii","1327","152","0","11","0","11","451","104","273","99","273","94","198","92","95","62","37","40","0","11","0","11",
"1500000US150010210051","Block Group 1, Census Tract 210.05, Hawaii County, Hawaii","1020","272","0","11","24","40","464","221","169","139","229","155","75","90","0","11","0","11","0","11","59","94",
"1500000US150010210052","Block Group 2, Census Tract 210.05, Hawaii County, Hawaii","699","203","55","89","0","11","53","63","86","58","345","192","129","116","31","46","0","11","0","11","0","11",
"1500000US150010210053","Block Group 3, Census Tract 210.05, Hawaii County, Hawaii","2022","306","48","78","25","40","859","252","509","225","425","206","131","122","25","43","0","11","0","11","0","11",
"1500000US150010210054","Block Group 4, Census Tract 210.05, Hawaii County, Hawaii","861","267","0","11","28","46","105","120","239","169","318","162","153","134","0","11","0","11","0","11","18","29",
"1500000US150010210101","Block Group 1, Census Tract 210.10, Hawaii County, Hawaii","1679","235","10","10","53","46","454","176","377","173","515","211","163","124","90","95","3","5","3","7","11","17",
"1500000US150010210102","Block Group 2, Census Tract 210.10, Hawaii County, Hawaii","1258","162","49","27","75","39","514","109","315","86","179","66","96","46","11","15","19","18","0","11","0","11",
"1500000US150010210103","Block Group 3, Census Tract 210.10, Hawaii County, Hawaii","1152","183","20","32","68","50","356","112","234","98","328","103","104","73","32","38","0","11","0","11","10","16",
"1500000US150010210111","Block Group 1, Census Tract 210.11, Hawaii County, Hawaii","1362","167","0","11","0","11","273","126","343","132","315","132","206","121","36","43","76","70","113","86","0","11",
"1500000US150010210112","Block Group 2, Census Tract 210.11, Hawaii County, Hawaii","658","169","0","11","16","27","186","105","158","87","148","79","11","18","0","11","0","11","44","70","95","87",
"1500000US150010210131","Block Group 1, Census Tract 210.13, Hawaii County, Hawaii","468","105","17","21","0","11","58","56","87","59","58","23","68","31","45","24","81","61","35","30","19","21",
"1500000US150010210132","Block Group 2, Census Tract 210.13, Hawaii County, Hawaii","589","120","20","22","0","11","112","61","141","88","107","66","30","24","35","26","43","54","47","53","54","33",
