"GEO_ID","NAME","B25046_001E","B25046_001M","B25046_002E","B25046_002M","B25046_003E","B25046_003M",
"Geography","Geographic Area Name","Estimate!!Aggregate number of vehicles available","Margin of Error!!Aggregate number of vehicles available","Estimate!!Aggregate number of vehicles available!!Owner occupied","Margin of Error!!Aggregate number of vehicles available!!Owner occupied","Estimate!!Aggregate number of vehicles available!!Renter occupied","Margin of Error!!Aggregate number of vehicles available!!Renter occupied",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","1170","221","757","159","413","166",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","699","214","607","215","92","50",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","808","245","681","226","127","100",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","677","142","445","128","232","89",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","495","152","333","117","162","156",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","791","155","595","132","196","88",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","895","228","762","225","133","104",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","309","104","97","66","212","86",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","875","199","400","169","475","175",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","389","110","100","54","289","104",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","null","null","null","null","null","null",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","841","227","518","215","323","144",
"1500000US150010204004","Block Group 4, Census Tract 204, Hawaii County, Hawaii","571","198","301","97","270","199",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","484","142","93","77","391","136",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","null","null","null","null","null","null",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","310","133","244","148","66","64",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","516","188","272","133","244","150",
"1500000US150010205005","Block Group 5, Census Tract 205, Hawaii County, Hawaii","840","293","410","262","430","154",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","454","157","294","144","160","69",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","964","196","855","191","109","55",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","491","79","465","79","26","18",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","1396","211","1100","187","296","114",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","1374","259","796","186","578","246",
"1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii","928","196","690","194","238","133",
"1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii","802","162","705","148","97","69",
"1500000US150010207021","Block Group 1, Census Tract 207.02, Hawaii County, Hawaii","1082","215","959","216","123","81",
"1500000US150010207022","Block Group 2, Census Tract 207.02, Hawaii County, Hawaii","1601","224","1462","230","139","90",
"1500000US150010207023","Block Group 3, Census Tract 207.02, Hawaii County, Hawaii","1156","203","1041","202","115","141",
"1500000US150010208011","Block Group 1, Census Tract 208.01, Hawaii County, Hawaii","1783","189","1370","211","413","182",
"1500000US150010208012","Block Group 2, Census Tract 208.01, Hawaii County, Hawaii","1167","248","1012","203","155","196",
"1500000US150010208021","Block Group 1, Census Tract 208.02, Hawaii County, Hawaii","604","189","552","196","52","52",
"1500000US150010208022","Block Group 2, Census Tract 208.02, Hawaii County, Hawaii","1821","359","1403","371","418","331",
"1500000US150010208023","Block Group 3, Census Tract 208.02, Hawaii County, Hawaii","null","null","null","null","null","null",
"1500000US150010208024","Block Group 4, Census Tract 208.02, Hawaii County, Hawaii","1770","355","1289","329","481","280",
"1500000US150010209001","Block Group 1, Census Tract 209, Hawaii County, Hawaii","559","174","377","148","182","111",
"1500000US150010209002","Block Group 2, Census Tract 209, Hawaii County, Hawaii","981","272","870","248","111","120",
"1500000US150010209003","Block Group 3, Census Tract 209, Hawaii County, Hawaii","1849","247","1474","248","375","144",
"1500000US150010210031","Block Group 1, Census Tract 210.03, Hawaii County, Hawaii","1085","317","713","220","372","220",
"1500000US150010210032","Block Group 2, Census Tract 210.03, Hawaii County, Hawaii","1286","369","1111","363","175","108",
"1500000US150010210033","Block Group 3, Census Tract 210.03, Hawaii County, Hawaii","1838","293","1340","312","498","157",
"1500000US150010210051","Block Group 1, Census Tract 210.05, Hawaii County, Hawaii","839","318","633","309","206","193",
"1500000US150010210052","Block Group 2, Census Tract 210.05, Hawaii County, Hawaii","1149","442","1012","440","137","124",
"1500000US150010210053","Block Group 3, Census Tract 210.05, Hawaii County, Hawaii","3147","687","2181","727","966","378",
"1500000US150010210054","Block Group 4, Census Tract 210.05, Hawaii County, Hawaii","1172","452","845","424","327","230",
"1500000US150010210101","Block Group 1, Census Tract 210.10, Hawaii County, Hawaii","1259","213","941","210","318","179",
"1500000US150010210102","Block Group 2, Census Tract 210.10, Hawaii County, Hawaii","1590","315","1068","201","522","272",
"1500000US150010210103","Block Group 3, Census Tract 210.10, Hawaii County, Hawaii","1254","270","1117","283","137","67",
"1500000US150010210111","Block Group 1, Census Tract 210.11, Hawaii County, Hawaii","1419","294","934","246","485","194",
"1500000US150010210112","Block Group 2, Census Tract 210.11, Hawaii County, Hawaii","881","278","754","271","127","107",
"1500000US150010210131","Block Group 1, Census Tract 210.13, Hawaii County, Hawaii","768","141","469","139","299","162",
"1500000US150010210132","Block Group 2, Census Tract 210.13, Hawaii County, Hawaii","763","183","448","116","315","156",
"1500000US150010210133","Block Group 3, Census Tract 210.13, Hawaii County, Hawaii","1389","227","1055","212","334","138",
"1500000US150010211011","Block Group 1, Census Tract 211.01, Hawaii County, Hawaii","1973","272","1445","257","528","181",
"1500000US150010211012","Block Group 2, Census Tract 211.01, Hawaii County, Hawaii","343","146","265","133","78","76",
"1500000US150010211061","Block Group 1, Census Tract 211.06, Hawaii County, Hawaii","485","168","280","132","205","99",
"1500000US150010211062","Block Group 2, Census Tract 211.06, Hawaii County, Hawaii","803","288","620","257","183","142",
