"GEO_ID","NAME","B25046_001E","B25046_001M","B25046_002E","B25046_002M","B25046_003E","B25046_003M",
"Geography","Geographic Area Name","Estimate!!Aggregate number of vehicles available:","Margin of Error!!Aggregate number of vehicles available:","Estimate!!Aggregate number of vehicles available:!!Owner occupied","Margin of Error!!Aggregate number of vehicles available:!!Owner occupied","Estimate!!Aggregate number of vehicles available:!!Renter occupied","Margin of Error!!Aggregate number of vehicles available:!!Renter occupied",
"1500000US150010201001","Block Group 1; Census Tract 201; Hawaii County; Hawaii","813","182","564","161","249","98",
"1500000US150010201002","Block Group 2; Census Tract 201; Hawaii County; Hawaii","505","106","433","107","72","38",
"1500000US150010201003","Block Group 3; Census Tract 201; Hawaii County; Hawaii","1399","502","1287","503","112","51",
"1500000US150010201004","Block Group 4; Census Tract 201; Hawaii County; Hawaii","789","230","675","220","114","68",
"1500000US150010202021","Block Group 1; Census Tract 202.02; Hawaii County; Hawaii","561","205","466","217","95","61",
"1500000US150010202022","Block Group 2; Census Tract 202.02; Hawaii County; Hawaii","729","135","617","148","112","60",
"1500000US150010203001","Block Group 1; Census Tract 203; Hawaii County; Hawaii","null","null","null","null","null","null",
"1500000US150010203002","Block Group 2; Census Tract 203; Hawaii County; Hawaii","496","149","255","96","241","123",
"1500000US150010203003","Block Group 3; Census Tract 203; Hawaii County; Hawaii","819","215","344","151","475","157",
"1500000US150010204001","Block Group 1; Census Tract 204; Hawaii County; Hawaii","569","234","289","181","280","165",
"1500000US150010204002","Block Group 2; Census Tract 204; Hawaii County; Hawaii","526","231","338","163","188","168",
"1500000US150010204003","Block Group 3; Census Tract 204; Hawaii County; Hawaii","832","287","254","142","578","249",
"1500000US150010205001","Block Group 1; Census Tract 205; Hawaii County; Hawaii","null","null","null","null","null","null",
"1500000US150010205002","Block Group 2; Census Tract 205; Hawaii County; Hawaii","709","400","340","309","369","275",
"1500000US150010205003","Block Group 3; Census Tract 205; Hawaii County; Hawaii","null","null","null","null","null","null",
"1500000US150010205004","Block Group 4; Census Tract 205; Hawaii County; Hawaii","880","370","519","267","361","265",
"1500000US150010206001","Block Group 1; Census Tract 206; Hawaii County; Hawaii","658","158","435","154","223","79",
"1500000US150010206002","Block Group 2; Census Tract 206; Hawaii County; Hawaii","707","149","612","162","95","48",
"1500000US150010206003","Block Group 3; Census Tract 206; Hawaii County; Hawaii","1117","148","1063","138","54","36",
"1500000US150010206004","Block Group 4; Census Tract 206; Hawaii County; Hawaii","1704","244","1517","247","187","89",
"1500000US150010207011","Block Group 1; Census Tract 207.01; Hawaii County; Hawaii","1944","443","1165","381","779","380",
"1500000US150010207012","Block Group 2; Census Tract 207.01; Hawaii County; Hawaii","1154","368","827","338","327","187",
"1500000US150010207013","Block Group 3; Census Tract 207.01; Hawaii County; Hawaii","1022","262","880","241","142","140",
"1500000US150010207021","Block Group 1; Census Tract 207.02; Hawaii County; Hawaii","1393","502","847","264","546","411",
"1500000US150010207022","Block Group 2; Census Tract 207.02; Hawaii County; Hawaii","1488","271","1324","265","164","97",
"1500000US150010207023","Block Group 3; Census Tract 207.02; Hawaii County; Hawaii","1080","331","1018","340","62","61",
"1500000US150010208011","Block Group 1; Census Tract 208.01; Hawaii County; Hawaii","null","null","null","null","null","null",
"1500000US150010208012","Block Group 2; Census Tract 208.01; Hawaii County; Hawaii","1834","383","1654","405","180","106",
"1500000US150010208013","Block Group 3; Census Tract 208.01; Hawaii County; Hawaii","643","202","434","190","209","114",
"1500000US150010208021","Block Group 1; Census Tract 208.02; Hawaii County; Hawaii","1033","326","745","267","288","258",
"1500000US150010208022","Block Group 2; Census Tract 208.02; Hawaii County; Hawaii","306","154","227","153","79","83",
"1500000US150010208023","Block Group 3; Census Tract 208.02; Hawaii County; Hawaii","1975","486","1707","488","268","170",
"1500000US150010208024","Block Group 4; Census Tract 208.02; Hawaii County; Hawaii","662","316","408","285","254","187",
"1500000US150010208025","Block Group 5; Census Tract 208.02; Hawaii County; Hawaii","null","null","null","null","null","null",
"1500000US150010209001","Block Group 1; Census Tract 209; Hawaii County; Hawaii","679","240","527","218","152","120",
"1500000US150010209002","Block Group 2; Census Tract 209; Hawaii County; Hawaii","null","null","null","null","null","null",
"1500000US150010209003","Block Group 3; Census Tract 209; Hawaii County; Hawaii","769","232","624","226","145","115",
"1500000US150010209004","Block Group 4; Census Tract 209; Hawaii County; Hawaii","473","131","473","131","-","**",
"1500000US150010209005","Block Group 5; Census Tract 209; Hawaii County; Hawaii","872","302","721","304","151","96",
"1500000US150010210031","Block Group 1; Census Tract 210.03; Hawaii County; Hawaii","1084","348","987","360","97","87",
"1500000US150010210032","Block Group 2; Census Tract 210.03; Hawaii County; Hawaii","806","280","607","220","199","165",
"1500000US150010210033","Block Group 3; Census Tract 210.03; Hawaii County; Hawaii","1841","455","1449","441","392","195",
"1500000US150010210034","Block Group 4; Census Tract 210.03; Hawaii County; Hawaii","null","null","null","null","null","null",
"1500000US150010210035","Block Group 5; Census Tract 210.03; Hawaii County; Hawaii","1160","361","1040","359","120","103",
"1500000US150010210111","Block Group 1; Census Tract 210.11; Hawaii County; Hawaii","1074","357","683","309","391","196",
"1500000US150010210112","Block Group 2; Census Tract 210.11; Hawaii County; Hawaii","1354","460","1298","459","56","54",
"1500000US150010210113","Block Group 3; Census Tract 210.11; Hawaii County; Hawaii","null","null","null","null","null","null",
"1500000US150010210131","Block Group 1; Census Tract 210.13; Hawaii County; Hawaii","662","185","529","186","133","60",
"1500000US150010210132","Block Group 2; Census Tract 210.13; Hawaii County; Hawaii","975","241","713","248","262","157",
"1500000US150010210133","Block Group 3; Census Tract 210.13; Hawaii County; Hawaii","1790","389","1532","363","258","141",
"1500000US150010210141","Block Group 1; Census Tract 210.14; Hawaii County; Hawaii","1086","618","572","326","514","542",
"1500000US150010210142","Block Group 2; Census Tract 210.14; Hawaii County; Hawaii","2452","836","1735","715","717","474",
"1500000US150010210143","Block Group 3; Census Tract 210.14; Hawaii County; Hawaii","2314","652","2037","663","277","226",
"1500000US150010210151","Block Group 1; Census Tract 210.15; Hawaii County; Hawaii","1665","616","1518","638","147","139",
