"GEO_ID","NAME","B17011_001E","B17011_001M","B17011_002E","B17011_002M","B17011_003E","B17011_003M","B17011_004E","B17011_004M","B17011_005E","B17011_005M",
"Geography","Geographic Area Name","Estimate!!Aggregate income deficit in the past 12 months:","Margin of Error!!Aggregate income deficit in the past 12 months:","Estimate!!Aggregate income deficit in the past 12 months:!!Married-couple family","Margin of Error!!Aggregate income deficit in the past 12 months:!!Married-couple family","Estimate!!Aggregate income deficit in the past 12 months:!!Other family:","Margin of Error!!Aggregate income deficit in the past 12 months:!!Other family:","Estimate!!Aggregate income deficit in the past 12 months:!!Other family:!!Male householder, no spouse present","Margin of Error!!Aggregate income deficit in the past 12 months:!!Other family:!!Male householder, no spouse present","Estimate!!Aggregate income deficit in the past 12 months:!!Other family:!!Female householder, no spouse present","Margin of Error!!Aggregate income deficit in the past 12 months:!!Other family:!!Female householder, no spouse present",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","785400","570725","89000","81314","696500","582055","222800","271221","473600","524887",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
