X,Y,objectid,facname,street,city,zip,island,phone,lic_exp,license_num
-157.998500329563,21.389419033751,1,Alma and Richard Pilar,94-1105 Kahuanui Street,Waipahu,96797,Oahu,8086809569,2022/02/28 00:00:00+00,89-D
-157.95681129135,21.4241131354744,2,"Aloha Adult DD Domiciliary Home, LLC",2235 Auhuhu Street,Pearl City,96782,Oahu,8084554050,2022/07/31 00:00:00+00,83-D
-157.994142645999,21.4031837022984,3,Aloha Care,94-983 Lumihoahu Street,Waipahu,96797,Oahu,8086716946,2022/07/31 00:00:00+00,65-D
-158.022138012838,21.5137060720355,4,Bagasol,911 A Lalawai Street,Wahiawa,96786,Oahu,8086219747,2022/05/31 00:00:00+00,70-D
-157.990662406873,21.4025991496664,5,C. Caraang,94-1023 Lumipolu Street,Waipahu,96797,Oahu,8086719765,2022/04/30 00:00:00+00,75-D
-158.07098112195,21.3441193082262,6,"Circle of Care, LLC",91-229 Paiaha Place,Kapolei,96707,Oahu,8086939992,2022/05/31 00:00:00+00,98-D
-157.931898287208,21.3692279832018,7,Corpuz,99-226 Ohenana Place,Aiea,96701,Oahu,8084880832,2022/06/30 00:00:00+00,77-D
-158.020609943621,21.3875177013687,8,F. Glenish J. Caraang,94-477 Lianu Place,Waipahu,96797,Oahu,8087447842,2022/07/31 00:00:00+00,71-D
-158.008521232498,21.3799296055279,9,Family,94-035 Nawaakoa Place,Waipahu,96797,Oahu,8086710280,2022/01/31 00:00:00+00,80-D
-157.922699279983,21.3501211215247,10,Funtanilla,1020 Hulakui Drive,Honolulu,96818,Oahu,8084230261,2022/11/30 00:00:00+00,66-D
-157.796298880369,21.4162860719544,11,Galicinao,45-201 B William Henry Road,Kaneohe,96744,Oahu,8082472939,2022/07/31 00:00:00+00,84-D
-156.487495417413,20.8960482854574,12,Hale Lokelani Ohana,295 Mikohu Loop,Kahului,96732,Maui,8082490254,2021/12/31 00:00:00+00,99-D
-156.500025757787,20.9197971065811,13,Hale Malaihi,770 Malaihi Road,Wailuku,96793,Maui,8082441824,2022/05/31 00:00:00+00,97-D
-157.21225042311,21.1311933664224,14,Hale Maunaloa,24 Hoalua Street,Maunaloa,96770,Molokai,8085522680,2022/01/31 00:00:00+00,93-D
-157.994972095557,21.4082576164992,15,Jack and Jill,94-1088 Lumi Street,Waipahu,96797,Oahu,8086788767,2022/08/31 00:00:00+00,86-D
-157.932589787936,21.3773219485905,16,"Ligaya Navasca Dom Home, LLC",99-058 Upapalu Drive,Aiea,96701,Oahu,8084870703,2022/03/31 00:00:00+00,85-D
-157.995148076501,21.3915123461725,17,Macaraeg DD Dom Home,94-262 Kahuahele Street,Waipahu,96797,Oahu,8086809267,2022/09/30 00:00:00+00,90-D
-158.013706073935,21.3109376579707,18,Macusi,91-730 Poloula Place,Ewa Beach,96706,Oahu,8082034007,2022/08/31 00:00:00+00,2-D
-158.019322697517,21.3860532429502,19,Malbog,94-338 Apowale Street,Waipahu,96797,Oahu,8087216460,2022/08/31 00:00:00+00,87-D
-157.807116679663,21.2746855714073,20,Maunalei Hale,3460A Maunalei Avenue,Honolulu,96816,Oahu,8083584292,2022/08/31 00:00:00+00,101-D
-156.371398410075,20.9010815873054,21,Mele House,41 Palekana Street,Paia,96779,Maui,8085798398,2022/05/31 00:00:00+00,94-D
-158.03936225605,21.5276573892108,22,"Opportunities and Resources, Inc. (ORI) - 2B",64-1488 Kamehameha Highway,Wahiawa,96786,Oahu,8086223929,2022/10/31 00:00:00+00,9-D
-158.03936225605,21.5276573892108,23,"Opportunities and Resources, Inc. (ORI) - Unit #10",64-1488 Kamehameha Highway,Wahiawa,96786,Oahu,8086223929,2022/10/31 00:00:00+00,10-D
-158.039057801627,21.5266965654697,24,"Opportunities and Resources, Inc. (ORI-2C)",64-1510 Kamehameha Highway,Wahiawa,96786,Oahu,8086223929,2022/11/30 00:00:00+00,91-D
-158.039057801627,21.5266965654697,25,"Opportunities and Resources, Inc. House 2A",64-1510 Kamehameha Highway,Wahiawa,96786,Oahu,8086223929,2022/02/28 00:00:00+00,96-D
