X,Y,objectid,name,licensed_beds,island,mailing_address,physical_address,phone,alt_phone,fax,poc,website,accred_status,cert_status,critical_access_hosp,provider_num
-157.757103615915,21.3814063603867,1,ADVENTIST HEALTH CASTLE,160,OAHU,"640 Ulukahiki Street, Kailua, Hawaii 96734","640 Ulukahiki Street, Kailua, Hawaii 96734",(808) 263-5500,,(808) 263-5123,"Kathy Raethel, President/CEO",https://www.adventisthealth.org/castle/,TJC,X,,120006
-155.470496262671,20.0763939839396,2,HALE HO’OLA HAMAKUA,11,HAWAII,"45-547 Plumeria Street, Honokaa, Hawaii 96727","45-547 Plumeria Street, Honokaa, Hawaii 96727",(808) 932-4100,,(808) 775-9977,"David A. Culbreth, Administrator",https://www.halehoolahamakua.org/,,X,X,121307
-157.810021385891,21.4094912912562,3,HAWAII STATE HOSPITAL,202,OAHU,"45-710 Keaahala Road, Kaneohe, Hawaii  96744","45-710 Keaahala Road, Kaneohe, Hawaii  96744",(808) 247-2191,,(808) 247-7335,"Run F. Heidelberg, DNP, APRN-RX, Administrator",https://health.hawaii.gov/,TJC,,,
-155.112982850348,19.7175281023897,4,HILO MEDICAL CENTER,166,HAWAII,"1190 Waianuenue Avenue, Hilo, Hawaii  96720","1190 Waianuenue Avenue, Hilo, Hawaii  96720",(808) 932-3000,,(808) 974-4746,"Dan Brinkman, Regional CEO",https://www.hilomedicalcenter.org/,TJC,X,,120005
-158.026048705401,21.3718078306727,5,KAHI MOHALA,88,OAHU,"91-2301 Fort Weaver Road, Ewa Beach, Hawaii  96706","91-2301 Fort Weaver Road, Ewa Beach, Hawaii  96706",(808) 671-8511,,(808) 677-2570,"Claudia Crist, CEO",https://www.sutterhealth.org/kahi,TJC,X,,124001
-157.952220734749,21.6773388592919,6,KAHUKU MEDICAL CENTER,21,OAHU,"56-117 Pualalea Street, Kahuku, Hawaii 96731","56-117 Pualalea Street, Kahuku, Hawaii 96731",(808) 293-9221,,(808) 293-2262,"Alan MacPhee, CEO",http://www.kmc-hi.org/,,X,X,121304
-157.900400148833,21.3625714701118,7,KAISER FOUNDATION HOSPITAL,295,OAHU,"3288 Moanalua Road, Honolulu, Hawaii  96819","3288 Moanalua Road, Honolulu, Hawaii  96819",(808) 432-0000,,(808) 432-7736,"Sam Balukoff, Hospital Administrator",https://healthy.kaiserpermanente.org/hawaii/facilities/kaiser-permanente-moanalua-medical-center-100434,TJC,X,,120011
-157.834295283931,21.3002643493044,8,KAPIOLANI MEDICAL CENTER for WOMEN and CHILDREN,253,OAHU,"1319 Punahou Street, Honolulu, Hawaii 96826","1319 Punahou Street, Honolulu, Hawaii 96826",(808) 983-6000,,(808) 983-6086,"David Underriner, Executive Vice President and CEO",https://www.hawaiipacifichealth.org/kapiolani/locations/kapiolani-medical-center/,TJC,X,,123300
-155.47200389435,19.2629167094653,9,KAU HOSPITAL,21,HAWAII,"P.O. Box 40, Pahala, Hawaii 96777","1 Kamani Street, Pahala, Hawaii 96777",(808) 932-4200,,(808) 928-8980,"Denise Mackey, Administrator",http://kauai.hhsc.org/,,X,X,121301
-159.665606910499,21.954635402809,10,KAUAI VETERANS MEMORIAL HOSPITAL,25,KAUAI,"P.O. Box 337, Waimea, Hawaii 96796","4643 Waimea Canyon Road, Waimea, Hawaii 96796",(808) 338-9431,,(808) 338-9420,"Lance Segawa, Regional Chief Executive Officer",http://kauai.hhsc.org/,TJC,X,X,121300
