"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","522","96","37","21","39","26","14","16","27","20","31","30","36","33","26","22","0","12","44","33","36","27","41","34","49","42","64","36","27","27","30","23","21","22",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","247","72","32","41","11","10","0","12","4","7","2","4","13","9","5","5","13","11","5","5","9","6","19","12","15","11","30","21","9","8","58","38","22","23",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","488","97","4","5","25","24","30","41","5","6","30","42","24","29","13","10","12","13","7","6","18","13","28","22","80","45","45","22","44","20","76","74","47","34",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","305","64","33","26","0","12","27","31","2","5","33","23","8","12","0","12","0","12","3","4","18","17","52","30","44","23","28","28","0","12","38","31","19","16",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","283","100","19","28","13","12","1","2","0","12","1","2","0","12","29","28","12","20","26","31","72","77","21","17","19","17","30","29","26","26","8","9","6","9",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","354","53","12","10","9","12","18","19","19","19","9","9","17","14","23","23","14","11","37","26","29","16","16","10","48","29","41","16","32","20","5","7","25","18",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","369","79","21","24","0","12","27","42","22","27","21","27","13","21","0","12","26","39","0","12","26","30","11","18","36","48","58","35","10","15","20","24","78","60",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","562","146","93","63","0","12","51","49","83","71","27","33","19","21","29","34","30","34","9","14","84","91","10","21","59","63","32","33","9","16","11","17","16","29",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","832","162","182","88","58","54","97","70","42","32","146","95","25","28","86","78","17","26","0","12","27","32","41","32","51","52","9","17","9","14","25","24","17","24",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","441","137","55","70","16","26","40","47","28","32","0","12","46","67","14","24","15","16","8","13","32","24","52","50","19","30","21","28","26","34","60","44","9","14",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","252","128","0","12","34","30","37","50","0","12","0","12","8","11","0","12","0","12","0","12","9","15","0","12","28","29","81","94","7","12","41","45","7","12",
