"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US150010201001","Block Group 1; Census Tract 201; Hawaii County; Hawaii","510","95","21","13","50","28","16","15","32","23","33","25","9","14","50","43","10","16","24","25","27","23","42","33","52","38","63","35","29","24","31","27","21","20",
"1500000US150010201002","Block Group 2; Census Tract 201; Hawaii County; Hawaii","248","58","30","37","12","11","2","3","2","3","3","7","9","11","5","5","7","8","9","8","13","10","23","13","10","10","25","16","17","12","64","39","17","10",
"1500000US150010201003","Block Group 3; Census Tract 201; Hawaii County; Hawaii","555","139","4","5","12","9","4","4","52","46","0","12","22","34","48","55","10","9","17","14","9","7","32","23","38","21","136","97","33","19","27","16","111","79",
"1500000US150010201004","Block Group 4; Census Tract 201; Hawaii County; Hawaii","331","82","22","18","0","12","30","34","0","12","14","15","16","16","0","12","0","12","0","12","18","20","47","31","60","28","30","26","20","17","48","29","26","20",
"1500000US150010202021","Block Group 1; Census Tract 202.02; Hawaii County; Hawaii","255","91","24","39","22","23","1","2","0","12","1","2","0","12","0","12","22","23","0","12","5","7","62","76","31","23","44","33","12","13","8","12","23","20",
"1500000US150010202022","Block Group 2; Census Tract 202.02; Hawaii County; Hawaii","371","53","14","10","10","13","17","19","17","17","17","19","16","12","24","18","4","7","19","16","41","25","34","17","57","29","29","17","20","12","26","20","26","17",
"1500000US150010203001","Block Group 1; Census Tract 203; Hawaii County; Hawaii","366","86","16","24","0","12","33","40","9","16","11","19","7","12","0","12","0","12","22","33","0","12","33","31","38","51","62","36","17","33","28","26","90","47",
"1500000US150010203002","Block Group 2; Census Tract 203; Hawaii County; Hawaii","524","153","66","60","0","12","76","60","47","66","35","44","47","40","63","56","5","14","0","12","73","91","16","21","38","51","37","36","11","18","10","23","0","12",
"1500000US150010203003","Block Group 3; Census Tract 203; Hawaii County; Hawaii","909","197","138","140","155","100","66","63","49","38","145","93","14","21","67","81","42","36","18","32","34","34","32","32","55","36","0","12","11","19","41","30","42","33",
"1500000US150010204001","Block Group 1; Census Tract 204; Hawaii County; Hawaii","403","150","60","72","44","53","47","50","34","44","0","12","33","54","0","12","20","26","8","12","16","22","17","20","19","29","0","12","54","49","37","43","14","22",
"1500000US150010204002","Block Group 2; Census Tract 204; Hawaii County; Hawaii","314","112","0","12","39","40","6","10","4","9","0","12","5","9","1","4","0","12","35","57","11","17","17","22","7","11","128","105","0","12","50","46","11","17",
"1500000US150010204003","Block Group 3; Census Tract 204; Hawaii County; Hawaii","648","158","80","75","26","25","78","62","20","23","43","46","13","16","0","12","46","44","12","18","83","77","78","60","99","75","9","15","21","31","0","12","40","49",
"1500000US150010205001","Block Group 1; Census Tract 205; Hawaii County; Hawaii","579","246","180","203","0","12","0","12","57","87","75","93","0","12","71","68","0","12","8","13","0","12","43","49","27","44","22","36","96","131","0","12","0","12",
"1500000US150010205002","Block Group 2; Census Tract 205; Hawaii County; Hawaii","470","192","114","91","26","40","26","40","0","12","0","12","27","40","0","12","0","12","41","57","27","46","111","136","48","71","28","43","0","12","22","37","0","12",
"1500000US150010205003","Block Group 3; Census Tract 205; Hawaii County; Hawaii","354","111","29","28","41","49","25","37","0","12","0","12","110","78","0","12","0","12","0","12","34","39","0","12","80","69","17","29","0","12","0","12","18","29",
"1500000US150010205004","Block Group 4; Census Tract 205; Hawaii County; Hawaii","656","190","57","52","139","130","61","58","0","12","24","39","28","43","0","12","23","39","0","12","47","58","36","49","76","63","99","134","17","29","48","48","1","28",
"1500000US150010206001","Block Group 1; Census Tract 206; Hawaii County; Hawaii","482","105","20","19","46","46","25","30","46","39","0","12","10","15","26","26","9","12","39","38","0","12","74","57","97","57","19","17","19","19","31","36","21","21",
"1500000US150010206002","Block Group 2; Census Tract 206; Hawaii County; Hawaii","333","62","16","9","7","6","3","4","2","3","3","5","15","15","4","6","9","8","3","4","9","10","49","40","82","63","22","12","12","10","57","34","40","27",
"1500000US150010206003","Block Group 3; Census Tract 206; Hawaii County; Hawaii","497","65","17","11","21","15","9","7","17","16","16","13","17","13","12","11","14","11","15","13","46","24","39","15","103","35","52","20","33","17","47","19","39","19",
"1500000US150010206004","Block Group 4; Census Tract 206; Hawaii County; Hawaii","835","126","46","36","15","11","11","10","16","12","16","11","20","12","65","68","29","27","28","20","74","49","60","27","167","72","50","20","44","30","104","39","90","42",
"1500000US150010207011","Block Group 1; Census Tract 207.01; Hawaii County; Hawaii","910","147","24","27","73","58","27","29","24","28","81","57","52","42","47","65","0","12","55","41","133","87","97","68","12","19","40","42","52","40","82","55","111","60",
"1500000US150010207012","Block Group 2; Census Tract 207.01; Hawaii County; Hawaii","467","139","13","19","7","12","0","12","94","77","33","48","25","27","19","30","0","12","0","12","0","12","26","29","61","42","133","75","12","20","29","28","15","28",
"1500000US150010207013","Block Group 3; Census Tract 207.01; Hawaii County; Hawaii","449","108","35","52","0","12","0","12","23","38","0","12","10","16","0","12","37","27","0","12","39","35","42","42","47","34","76","44","68","56","48","37","24","33",
"1500000US150010207021","Block Group 1; Census Tract 207.02; Hawaii County; Hawaii","627","209","40","43","8","13","8","13","0","12","0","12","13","15","0","12","10","15","29","35","93","113","126","102","49","31","79","52","44","41","88","74","40","32",
"1500000US150010207022","Block Group 2; Census Tract 207.02; Hawaii County; Hawaii","708","122","6","11","33","47","19","22","10","16","1","3","0","12","21","23","9","14","14","22","44","36","43","34","170","89","148","52","97","56","68","43","25","25",
"1500000US150010207023","Block Group 3; Census Tract 207.02; Hawaii County; Hawaii","451","104","24","23","0","12","0","12","27","43","0","12","0","12","0","12","0","12","0","12","49","26","10","15","37","28","63","33","50","40","95","79","96","63",
"1500000US150010208011","Block Group 1; Census Tract 208.01; Hawaii County; Hawaii","481","95","0","12","7","12","0","12","29","47","8","12","9","13","0","12","22","24","0","12","14","19","25","20","36","35","12","16","46","37","184","71","89","48",
"1500000US150010208012","Block Group 2; Census Tract 208.01; Hawaii County; Hawaii","880","147","82","65","4","6","2","3","10","16","34","27","27","48","27","28","10","17","12","14","103","70","54","41","67","59","61","40","85","63","181","83","121","69",
"1500000US150010208013","Block Group 3; Census Tract 208.01; Hawaii County; Hawaii","294","77","0","12","0","12","9","13","40","34","10","16","0","12","0","12","28","41","0","12","0","12","16","18","19","23","76","53","32","26","23","26","41","33",
"1500000US150010208021","Block Group 1; Census Tract 208.02; Hawaii County; Hawaii","527","136","57","71","26","41","0","12","0","12","16","24","42","48","1","2","11","17","19","25","47","69","17","25","49","41","2","3","61","60","107","102","72","55",
"1500000US150010208022","Block Group 2; Census Tract 208.02; Hawaii County; Hawaii","172","75","0","12","0","12","0","12","0","12","0","12","0","12","15","23","16","25","0","12","31","38","0","12","30","38","35","42","0","12","27","33","18","29",
"1500000US150010208023","Block Group 3; Census Tract 208.02; Hawaii County; Hawaii","900","191","0","12","0","12","0","12","0","12","28","39","0","12","34","39","0","12","57","66","105","94","55","51","238","118","16","24","55","64","166","90","146","73",
"1500000US150010208024","Block Group 4; Census Tract 208.02; Hawaii County; Hawaii","315","105","0","12","17","28","15","26","19","32","26","30","14","21","0","12","0","12","5","8","37","41","30","35","23","37","0","12","0","12","104","102","25","32",
"1500000US150010208025","Block Group 5; Census Tract 208.02; Hawaii County; Hawaii","458","151","0","12","0","12","0","12","0","12","0","12","67","86","0","12","0","12","0","12","0","12","36","43","62","92","109","71","46","54","53","44","85","64",
"1500000US150010209001","Block Group 1; Census Tract 209; Hawaii County; Hawaii","298","96","10","18","0","12","10","18","14","21","0","12","0","12","0","12","0","12","0","12","10","15","31","35","34","24","99","67","50","58","13","13","27","20",
"1500000US150010209002","Block Group 2; Census Tract 209; Hawaii County; Hawaii","480","126","14","21","0","12","0","12","8","14","10","17","2","4","2","4","10","15","0","12","49","40","31","36","95","56","64","53","57","63","100","75","38","32",
"1500000US150010209003","Block Group 3; Census Tract 209; Hawaii County; Hawaii","287","80","0","12","0","12","0","12","11","17","0","12","7","11","0","12","0","12","20","26","74","58","17","28","16","24","19","32","22","32","48","38","53","43",
"1500000US150010209004","Block Group 4; Census Tract 209; Hawaii County; Hawaii","268","71","0","12","0","12","0","12","9","14","0","12","0","12","0","12","20","22","0","12","29","26","10","16","60","47","60","55","36","31","21","24","23","17",
"1500000US150010209005","Block Group 5; Census Tract 209; Hawaii County; Hawaii","374","122","25","38","0","12","62","71","19","28","0","12","0","12","6","13","19","27","0","12","0","12","30","34","19","24","35","41","12","18","36","31","111","74",
"1500000US150010210031","Block Group 1; Census Tract 210.03; Hawaii County; Hawaii","528","130","58","43","57","43","0","12","11","17","0","12","18","28","5","8","8","13","37","48","104","94","102","68","38","45","27","30","13","20","27","29","23","39",
"1500000US150010210032","Block Group 2; Census Tract 210.03; Hawaii County; Hawaii","521","187","123","140","51","70","6","9","27","33","9","11","6","9","17","29","23","27","11","18","64","66","38","42","25","30","31","36","62","53","14","16","14","15",
"1500000US150010210033","Block Group 3; Census Tract 210.03; Hawaii County; Hawaii","951","223","107","90","5","8","16","26","95","109","73","66","80","80","0","12","64","64","40","45","44","45","138","83","104","80","132","115","12","13","17","22","24","39",
"1500000US150010210034","Block Group 4; Census Tract 210.03; Hawaii County; Hawaii","140","117","10","12","0","12","115","116","0","12","0","12","4","8","5","7","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","9",
"1500000US150010210035","Block Group 5; Census Tract 210.03; Hawaii County; Hawaii","589","149","64","59","20","25","21","31","165","84","14","24","0","12","0","12","0","12","0","12","14","22","35","36","95","67","104","78","0","12","37","35","20","31",
"1500000US150010210111","Block Group 1; Census Tract 210.11; Hawaii County; Hawaii","579","182","81","81","25","41","0","12","0","12","28","46","23","37","0","12","16","26","67","72","64","67","73","80","76","96","100","95","0","12","0","12","26","41",
"1500000US150010210112","Block Group 2; Census Tract 210.11; Hawaii County; Hawaii","678","190","18","16","6","11","0","12","10","14","7","11","51","63","8","12","14","22","23","21","33","42","94","79","90","74","11","12","119","90","40","49","154","102",
"1500000US150010210113","Block Group 3; Census Tract 210.11; Hawaii County; Hawaii","294","119","0","12","0","12","23","37","15","24","70","72","2","3","0","12","0","12","33","52","17","28","0","12","27","43","42","51","13","22","52","66","0","12",
"1500000US150010210131","Block Group 1; Census Tract 210.13; Hawaii County; Hawaii","373","84","16","10","40","39","15","10","11","9","36","30","0","12","4","6","12","10","3","5","21","17","23","15","37","25","25","20","23","17","55","49","52","51",
"1500000US150010210132","Block Group 2; Census Tract 210.13; Hawaii County; Hawaii","499","120","34","35","18","21","0","12","11","17","0","12","0","12","36","57","11","19","0","12","59","59","51","44","144","83","73","52","35","50","2","4","25","23",
