"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B09019_001E","Estimate!!Total:"
"B09019_001M","Margin of Error!!Total:"
"B09019_002E","Estimate!!Total:!!In households:"
"B09019_002M","Margin of Error!!Total:!!In households:"
"B09019_003E","Estimate!!Total:!!In households:!!Householder:"
"B09019_003M","Margin of Error!!Total:!!In households:!!Householder:"
"B09019_004E","Estimate!!Total:!!In households:!!Householder:!!Male:"
"B09019_004M","Margin of Error!!Total:!!In households:!!Householder:!!Male:"
"B09019_005E","Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone"
"B09019_005M","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Living alone"
"B09019_006E","Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone"
"B09019_006M","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Not living alone"
"B09019_007E","Estimate!!Total:!!In households:!!Householder:!!Female:"
"B09019_007M","Margin of Error!!Total:!!In households:!!Householder:!!Female:"
"B09019_008E","Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone"
"B09019_008M","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Living alone"
"B09019_009E","Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone"
"B09019_009M","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Not living alone"
"B09019_010E","Estimate!!Total:!!In households:!!Opposite-sex spouse"
"B09019_010M","Margin of Error!!Total:!!In households:!!Opposite-sex spouse"
"B09019_011E","Estimate!!Total:!!In households:!!Same-sex spouse"
"B09019_011M","Margin of Error!!Total:!!In households:!!Same-sex spouse"
"B09019_012E","Estimate!!Total:!!In households:!!Opposite-sex unmarried partner"
"B09019_012M","Margin of Error!!Total:!!In households:!!Opposite-sex unmarried partner"
"B09019_013E","Estimate!!Total:!!In households:!!Same-sex unmarried partner"
"B09019_013M","Margin of Error!!Total:!!In households:!!Same-sex unmarried partner"
"B09019_014E","Estimate!!Total:!!In households:!!Child:"
"B09019_014M","Margin of Error!!Total:!!In households:!!Child:"
"B09019_015E","Estimate!!Total:!!In households:!!Child:!!Biological child"
"B09019_015M","Margin of Error!!Total:!!In households:!!Child:!!Biological child"
"B09019_016E","Estimate!!Total:!!In households:!!Child:!!Adopted child"
"B09019_016M","Margin of Error!!Total:!!In households:!!Child:!!Adopted child"
"B09019_017E","Estimate!!Total:!!In households:!!Child:!!Stepchild"
"B09019_017M","Margin of Error!!Total:!!In households:!!Child:!!Stepchild"
"B09019_018E","Estimate!!Total:!!In households:!!Grandchild"
"B09019_018M","Margin of Error!!Total:!!In households:!!Grandchild"
"B09019_019E","Estimate!!Total:!!In households:!!Brother or sister"
"B09019_019M","Margin of Error!!Total:!!In households:!!Brother or sister"
"B09019_020E","Estimate!!Total:!!In households:!!Parent"
"B09019_020M","Margin of Error!!Total:!!In households:!!Parent"
"B09019_021E","Estimate!!Total:!!In households:!!Parent-in-law"
"B09019_021M","Margin of Error!!Total:!!In households:!!Parent-in-law"
"B09019_022E","Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law"
"B09019_022M","Margin of Error!!Total:!!In households:!!Son-in-law or daughter-in-law"
"B09019_023E","Estimate!!Total:!!In households:!!Other relatives"
"B09019_023M","Margin of Error!!Total:!!In households:!!Other relatives"
"B09019_024E","Estimate!!Total:!!In households:!!Foster child"
"B09019_024M","Margin of Error!!Total:!!In households:!!Foster child"
"B09019_025E","Estimate!!Total:!!In households:!!Other nonrelatives"
"B09019_025M","Margin of Error!!Total:!!In households:!!Other nonrelatives"
"B09019_026E","Estimate!!Total:!!In group quarters"
"B09019_026M","Margin of Error!!Total:!!In group quarters"
