"GEO_ID","NAME","B09019_001E","B09019_001M","B09019_002E","B09019_002M","B09019_003E","B09019_003M","B09019_004E","B09019_004M","B09019_005E","B09019_005M","B09019_006E","B09019_006M","B09019_007E","B09019_007M","B09019_008E","B09019_008M","B09019_009E","B09019_009M","B09019_010E","B09019_010M","B09019_011E","B09019_011M","B09019_012E","B09019_012M","B09019_013E","B09019_013M","B09019_014E","B09019_014M","B09019_015E","B09019_015M","B09019_016E","B09019_016M","B09019_017E","B09019_017M","B09019_018E","B09019_018M","B09019_019E","B09019_019M","B09019_020E","B09019_020M","B09019_021E","B09019_021M","B09019_022E","B09019_022M","B09019_023E","B09019_023M","B09019_024E","B09019_024M","B09019_025E","B09019_025M","B09019_026E","B09019_026M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In households:","Margin of Error!!Total:!!In households:","Estimate!!Total:!!In households:!!Householder:","Margin of Error!!Total:!!In households:!!Householder:","Estimate!!Total:!!In households:!!Householder:!!Male:","Margin of Error!!Total:!!In households:!!Householder:!!Male:","Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Estimate!!Total:!!In households:!!Householder:!!Female:","Margin of Error!!Total:!!In households:!!Householder:!!Female:","Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Estimate!!Total:!!In households:!!Opposite-sex spouse","Margin of Error!!Total:!!In households:!!Opposite-sex spouse","Estimate!!Total:!!In households:!!Same-sex spouse","Margin of Error!!Total:!!In households:!!Same-sex spouse","Estimate!!Total:!!In households:!!Opposite-sex unmarried partner","Margin of Error!!Total:!!In households:!!Opposite-sex unmarried partner","Estimate!!Total:!!In households:!!Same-sex unmarried partner","Margin of Error!!Total:!!In households:!!Same-sex unmarried partner","Estimate!!Total:!!In households:!!Child:","Margin of Error!!Total:!!In households:!!Child:","Estimate!!Total:!!In households:!!Child:!!Biological child","Margin of Error!!Total:!!In households:!!Child:!!Biological child","Estimate!!Total:!!In households:!!Child:!!Adopted child","Margin of Error!!Total:!!In households:!!Child:!!Adopted child","Estimate!!Total:!!In households:!!Child:!!Stepchild","Margin of Error!!Total:!!In households:!!Child:!!Stepchild","Estimate!!Total:!!In households:!!Grandchild","Margin of Error!!Total:!!In households:!!Grandchild","Estimate!!Total:!!In households:!!Brother or sister","Margin of Error!!Total:!!In households:!!Brother or sister","Estimate!!Total:!!In households:!!Parent","Margin of Error!!Total:!!In households:!!Parent","Estimate!!Total:!!In households:!!Parent-in-law","Margin of Error!!Total:!!In households:!!Parent-in-law","Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law","Margin of Error!!Total:!!In households:!!Son-in-law or daughter-in-law","Estimate!!Total:!!In households:!!Other relatives","Margin of Error!!Total:!!In households:!!Other relatives","Estimate!!Total:!!In households:!!Foster child","Margin of Error!!Total:!!In households:!!Foster child","Estimate!!Total:!!In households:!!Other nonrelatives","Margin of Error!!Total:!!In households:!!Other nonrelatives","Estimate!!Total:!!In group quarters","Margin of Error!!Total:!!In group quarters",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","1876","341","1853","342","758","120","377","77","92","36","285","69","381","82","127","37","254","68","276","62","0","11","55","34","16","24","432","128","391","124","4","3","37","32","72","59","20","14","83","70","0","11","15","16","57","57","0","11","69","53","23","13",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","752","198","752","198","332","100","142","62","19","16","123","61","190","83","99","70","91","45","146","61","0","11","4","6","0","11","116","52","111","50","5","8","0","11","19","18","67","63","4","6","0","11","4","6","39","47","0","11","21","19","0","11",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","681","233","681","233","210","61","125","49","14","16","111","48","85","43","21","24","64","38","111","46","0","11","24","26","0","11","211","121","211","121","0","11","0","11","22","29","16","25","6","7","15","23","0","11","0","11","0","11","66","61","0","11",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","971","297","971","297","320","82","166","56","52","32","114","45","154","58","50","35","104","48","129","47","0","11","25","34","0","11","291","127","291","127","0","11","0","11","80","100","28","29","48","48","0","11","0","11","45","63","0","11","5","7","0","11",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","1348","344","529","131","241","51","78","33","23","17","55","30","163","55","58","35","105","46","84","31","16","24","24","15","0","11","102","58","102","58","0","11","0","11","0","11","0","11","27","37","0","11","0","11","0","11","0","11","35","36","819","314",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","1301","225","1275","219","410","70","215","79","35","18","180","78","195","45","62","25","133","37","197","36","0","11","4","5","0","11","355","103","346","104","0","11","9","12","51","37","59","59","26","16","0","11","11","11","132","111","0","11","30","35","26","28",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","858","221","732","196","258","60","155","50","34","31","121","43","103","45","37","29","66","39","117","53","0","11","0","11","0","11","196","97","196","97","0","11","0","11","63","81","15","22","0","11","0","11","0","11","15","22","0","11","68","82","126","75",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","1218","341","1179","345","560","133","289","107","101","60","188","98","271","104","81","64","190","100","127","79","0","11","88","60","10","16","320","176","320","176","0","11","0","11","0","11","8","13","0","11","0","11","0","11","20","30","0","11","46","47","39","37",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","2234","420","2102","422","880","130","422","123","224","100","198","94","458","127","106","71","352","121","231","96","0","11","64","52","14","22","496","231","496","231","0","11","0","11","55","70","0","11","15","23","0","11","0","11","180","173","0","11","167","131","132","45",
