X,Y,objectid,name,licensed_b,island,mailing_ad,physical_a,phone_numb,alternate_,fax,poc,website,provider_n
-157.796400297161,21.262745936916,1,THE ARC IN HAWAII (6A),4,OAHU,"3989 Diamond Head Road, Honolulu, Hawaii  96816","852 Paahana Street, Honolulu, Hawaii  96816",(808) 737-7995,,(808) 732-9531,"Leiann Fountain, Executive Director",https://www.thearcinhawaii.org/,12G020
-157.796400297161,21.262745936916,2,THE ARC IN HAWAII (6B),4,OAHU,"3989 Diamond Head Road, Honolulu, Hawaii  96816","852-A Paahana Street, Honolulu, Hawaii  96816",(808) 737-7995,,(808) 732-9531,"Leiann Fountain, Executive Director",https://www.thearcinhawaii.org/,12G021
-157.796400297161,21.262745936916,3,THE ARC IN HAWAII (EWA B),5,OAHU,"3989 Diamond Head Road, Honolulu, Hawaii  96816","91-824 B Hanakahi Street, Ewa Beach, Hawaii  96706",(808) 737-7995,,(808) 732-9531,"Leiann Fountain, Executive Director",https://www.thearcinhawaii.org/,12G034
-157.796400297161,21.262745936916,4,THE ARC IN HAWAII (EWA C),5,OAHU,"3989 Diamond Head Road, Honolulu, Hawaii  96816","91-824 B Hanakahi Street, Ewa Beach, Hawaii  96706",(808) 737-7995,,(808) 732-9531,"Leiann Fountain, Executive Director",https://www.thearcinhawaii.org/,12G035
-157.796400297161,21.262745936916,5,THE ARC IN HAWAII (KAIMUKI A),5,OAHU,"3989 Diamond Head Road, Honolulu, Hawaii  96816","3705 Mahina Avenue, Honolulu, Hawaii 96816",(808) 737-7995,,(808) 732-9531,"Leiann Fountain, Executive Director",https://www.thearcinhawaii.org/,12G029
-157.796400297161,21.262745936916,6,THE ARC IN HAWAII (KAIMUKI B),5,OAHU,"3989 Diamond Head Road, Honolulu, Hawaii  96816","811 19th Avenue, Honolulu, Hawaii  96816",(808) 737-7995,,(808) 732-9531,"Leiann Fountain, Executive Director",https://www.thearcinhawaii.org/,12G027
-157.796400297161,21.262745936916,7,THE ARC IN HAWAII (WAHIAWA A),4,OAHU,"3989 Diamond Head Road, Honolulu, Hawaii  96816","140-A Kuahiwi Avenue, Wahiawa, Hawaii  96786",(808) 737-7995,,(808) 732-9531,"Leiann Fountain, Executive Director",https://www.thearcinhawaii.org/,12G028
-156.502754078819,20.8899160237676,8,THE ARC OF MAUI (HALE KANALOA),5,MAUI,"140 N. Market Street, Suite 202B, Wailuku, Hawaii  96793","450 B Kanaloa Avenue, Kahului, Hawaii  96732",(808) 242-5781,,(808) 244-4061,"Aspen Wallwork, Chief Executive Officer",https://arcofmaui.org/,12G038
-156.502754078819,20.8899160237676,9,THE ARC OF MAUI (HALE KIHEI),5,MAUI,"140 N. Market Street, Suite 202B, Wailuku, Hawaii  96793","179 Hale Kai Street, Kihei, Hawaii  96753",(808) 242-5781,,(808) 244-4061,"Aspen Wallwork, Chief Executive Officer",https://arcofmaui.org/,12G036
-156.502754078819,20.8899160237676,10,THE ARC OF MAUI (MANA OLA NA KEANUENUE),5,MAUI,"140 N. Market Street, Suite 202B, Wailuku, Hawaii  96793","450 Kanaloa Avenue, Kahului, Hawaii  96732",(808) 242-5781,,(808) 244-4061,"Aspen Wallwork, Chief Executive Officer",https://arcofmaui.org/,12G037
-156.358542480862,20.7022315149637,11,KULA HOSPITAL,9,MAUI,"100 Keokea Place, Kula, Hawaii  96790-7450","100 Keokea Place, Kula, Hawaii  96790-7450",(808) 878-1221,,(808) 878-1791,"Kerry D. Pitcher, Senior Director of LTC and CAH",https://www.mauihealth.org/locations/kula-hospital/,12G001
-158.039057801627,21.5266965654697,12,"OPPORTUNITIES AND RESOURCES, INC.",5,OAHU,"64-1510 Kamehameha Highway, House 1-A, Wahiawa, Hawaii  96786","64-1510 Kamehameha Highway, House 1-A, Wahiawa, Hawaii  96786",(808) 622-3929,,(808) 621-8227,"Susan Hudson, Program Administrator",https://www.ori-hawaii.com/,12G030
-158.039057801627,21.5266965654697,13,"OPPORTUNITIES AND RESOURCES, INC.",5,OAHU,"64-1510 Kamehameha Highway, House 1-B, Wahiawa, Hawaii  96786","64-1510 Kamehameha Highway, House 1-B, Wahiawa, Hawaii  96786",(808) 622-3929,,(808) 621-8227,"Susan Hudson, Program Administrator",https://www.ori-hawaii.com/,12G031
-158.039057801627,21.5266965654697,14,"OPPORTUNITIES AND RESOURCES, INC.",5,OAHU,"64-1510 Kamehameha Highway, House 1-C, Wahiawa, Hawaii  96786","64-1510 Kamehameha Highway, House 1-C, Wahiawa, Hawaii  96786",(808) 622-3929,,(808) 621-8227,"Susan Hudson, Program Administrator",https://www.ori-hawaii.com/,12G032
-158.039057801627,21.5266965654697,15,"OPPORTUNITIES AND RESOURCES, INC.",5,OAHU,"64-1510 Kamehameha Highway, House 3-A, Wahiawa, Hawaii  96786","64-1510 Kamehameha Highway, House 3-A, Wahiawa, Hawaii  96786",(808) 622-3929,,(808) 621-8227,"Susan Hudson, Program Administrator",https://www.ori-hawaii.com/,12G040
-158.039057801627,21.5266965654697,16,"OPPORTUNITIES AND RESOURCES, INC.",5,OAHU,"64-1510 Kamehameha Highway, House 3-B, Wahiawa, Hawaii  96786","64-1510 Kamehameha Highway, House 3-B, Wahiawa, Hawaii  96786",(808) 622-3929,,(808) 621-8227,"Susan Hudson, Program Administrator",https://www.ori-hawaii.com/,
-158.039057801627,21.5266965654697,17,"OPPORTUNITIES AND RESOURCES, INC.",5,OAHU,"64-1510 Kamehameha Highway, House 3-C, Wahiawa, Hawaii  96786","64-1510 Kamehameha Highway, House 3-C, Wahiawa, Hawaii  96786",(808) 622-3929,,(808) 621-8227,"Susan Hudson, Program Administrator",https://www.ori-hawaii.com/,12G042
