objectid,fid_1,acres,tmk8_num,tmk8_alph,tmk_9,type,osds_class,x,y,soil_qty,soil_n,soil_p,soil_fc,soil_eff,soil_nflx,soil_pflx,st_qty_1,st_n_1,st_p_1,st_fc_1,st_eff_1,st_nflx_1,st_pflx_1,au_qty,au_n,au_p,au_fc,au_eff,au_nflx,au_pflx,cp_qty,cp_n,cp_p,cp_fc,cp_eff,cp_nflx,cp_pflx,ttl_osds,ttl_eff,ttl_n,ttl_p,rsk_score,towns
1,4740,0.4,49007025,49007025,149007025,CESSPOOL,Class IV,620359,2381670,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,3,KAHALUU
2,4790,0.22,49007023,49007023,149007023,CESSPOOL,Class IV,620401,2381580,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,5,KAHALUU
3,4791,0.17,49007022,49007022,149007022,CESSPOOL,Class IV,620424,2381520,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,1000,0.230890,0.064350,1,1000,0.2309,0.0643,4,KAHALUU
4,4792,0.29,49007021,49007021,149007021,CESSPOOL,Class IV,620453,2381480,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,4,KAHALUU
5,4793,0.19,49007027,49007027,149007027,CESSPOOL,Class IV,620470,2381460,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,3,KAHALUU
6,4794,0.18,49007020,49007020,149007020,CESSPOOL,Class IV,620483,2381440,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,3,KAHALUU
7,4795,0.1,49007016,49007016,149007016,CESSPOOL,Class IV,620518,2381360,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,4,KAHALUU
8,4796,0.09,49007015,49007015,149007015,CESSPOOL,Class IV,620528,2381340,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,1000,0.230890,0.064350,1,1000,0.2309,0.0643,4,KAHALUU
9,4797,0.12,49007014,49007014,149007014,CESSPOOL,Class IV,620541,2381310,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,1200,0.277060,0.077210,1,1200,0.2771,0.0772,4,KAHALUU
10,4798,0.12,49007013,49007013,149007013,CESSPOOL,Class IV,620556,2381290,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,4,KAHALUU
