X,Y,objectid,name,island
-159.354983386891,21.9770181218963,1,KAUAI COUNTY POLICE DEPARTMENT,Kauai
-159.479153420495,22.2122553969759,2,HANALEI POLICE SUBSTATION,Kauai
-159.667143875523,21.956696182174,3,WAIMEA POLICE SUBSTATION,Kauai
-159.319575738799,22.0776923659561,4,KAPAA POLICE SUBSTATION,Kauai
-159.464279148959,21.9034238839745,5,KOLOA POLICE SUBSTATION,Kauai
-155.085222151235,19.7148819762457,6,Hilo Station,Hawaii
-155.232710478201,19.982986248654,7,Laupahoehoe Station,Hawaii
-155.462511599927,20.0771476327348,8,Honokaa Station,Hawaii
-155.661655929237,20.0238471185816,9,Waimea Station,Hawaii
-155.833870773829,19.9467074277164,10,Kalahuipua'a,Hawaii
-155.798270293512,20.2299089687335,11,Kapaau Station,Hawaii
-156.006960879704,19.6637166604363,12,Kona Station,Hawaii
-155.909440828302,19.4889323097443,13,Captain Cook,Hawaii
-155.776132442232,19.0843542973812,14,Ocean View,Hawaii
-155.567002457803,19.0679838983614,15,Naalehu Station,Hawaii
-154.957951523202,19.5087410655758,16,Pahoa Station,Hawaii
-155.040155024362,19.6209567109816,17,Keaau,Hawaii
-155.092052452264,19.7288632516312,18,Clem Akina Park,Hawaii
-155.084587585527,19.7240283814456,19,Mooheau,Hawaii
-155.013352255236,19.7353791051229,20,Richardson,Hawaii
-155.104861385706,19.8351852543039,21,Pepeekeo,Hawaii
-155.467806049654,20.0789080988565,22,Honokaa Station,Hawaii
-155.994427551246,19.6397903124516,23,Kailua Village,Hawaii
-155.961987388842,19.5710979449739,24,Keauhou,Hawaii
-155.106515168021,19.6657887743825,25,Waiakea Uka,Hawaii
-155.065806201419,19.7019790956173,26,Holomua,Hawaii
-155.79384407653,19.9249564943367,27,Waikoloa,Hawaii
-156.488115648283,20.8881630448977,28,MPD,Maui
-157.018114627875,21.0906426726935,29,MOLOKAI POLICE,Molokai
-156.921001812756,20.8234442886884,30,LANAI POLICE,Lanai
-156.684457701112,20.9046582132537,31,LAHAINA POLICE,Maui
-156.440728630229,20.727053233487,32,KIHEI POLICE PIILANI HWY,Maui
-155.993536045095,20.7630265269314,33,HANA POLICE,Maui
-157.946172694883,21.674715505469,34,Kahuku Substation,Oahu
-158.025269884305,21.5024897114575,35,Wahiawa District Station,Oahu
-158.187497287569,21.4432875989321,36,Waianae Substation,Oahu
-157.739871998322,21.3962572095685,37,Kailua Substation,Oahu
-157.798752151971,21.4134039398451,38,Kaneohe District Station,Oahu
-157.969717693872,21.3962096040461,39,Pearl City District Station,Oahu
-157.870650321396,21.3440775884372,40,Kalihi District Station,Oahu
-157.862793906669,21.3120299559034,41,Chinatown Substation,Oahu
-157.825780350868,21.2759764780976,42,Waikiki Substation,Oahu
-158.081368350645,21.3358132494639,43,Kapolei District Station,Oahu
-157.851507251889,21.3039620658876,44,Alapai Police Headquarters,Oahu
