"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"P5_001N"," !!Total:"
"P5_002N"," !!Total:!!Not Hispanic or Latino:"
"P5_003N"," !!Total:!!Not Hispanic or Latino:!!White alone"
"P5_004N"," !!Total:!!Not Hispanic or Latino:!!Black or African American alone"
"P5_005N"," !!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone"
"P5_006N"," !!Total:!!Not Hispanic or Latino:!!Asian alone"
"P5_007N"," !!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone"
"P5_008N"," !!Total:!!Not Hispanic or Latino:!!Some Other Race alone"
"P5_009N"," !!Total:!!Not Hispanic or Latino:!!Two or More Races"
"P5_010N"," !!Total:!!Hispanic or Latino:"
"P5_011N"," !!Total:!!Hispanic or Latino:!!White alone"
"P5_012N"," !!Total:!!Hispanic or Latino:!!Black or African American alone"
"P5_013N"," !!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone"
"P5_014N"," !!Total:!!Hispanic or Latino:!!Asian alone"
"P5_015N"," !!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone"
"P5_016N"," !!Total:!!Hispanic or Latino:!!Some Other Race alone"
"P5_017N"," !!Total:!!Hispanic or Latino:!!Two or More Races"
