"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N","P5_011N","P5_012N","P5_013N","P5_014N","P5_015N","P5_016N","P5_017N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Not Hispanic or Latino:"," !!Total:!!Not Hispanic or Latino:!!White alone"," !!Total:!!Not Hispanic or Latino:!!Black or African American alone"," !!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone"," !!Total:!!Not Hispanic or Latino:!!Asian alone"," !!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Not Hispanic or Latino:!!Some Other Race alone"," !!Total:!!Not Hispanic or Latino:!!Two or More Races"," !!Total:!!Hispanic or Latino:"," !!Total:!!Hispanic or Latino:!!White alone"," !!Total:!!Hispanic or Latino:!!Black or African American alone"," !!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone"," !!Total:!!Hispanic or Latino:!!Asian alone"," !!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Hispanic or Latino:!!Some Other Race alone"," !!Total:!!Hispanic or Latino:!!Two or More Races",
"1000000US150010201001000","Block 1000, Block Group 1, Census Tract 201, Hawaii County, Hawaii","59","54","12","0","0","17","3","0","22","5","0","0","0","0","0","0","5",
"1000000US150010201001001","Block 1001, Block Group 1, Census Tract 201, Hawaii County, Hawaii","36","35","3","0","0","21","1","0","10","1","0","0","0","0","0","0","1",
"1000000US150010201001002","Block 1002, Block Group 1, Census Tract 201, Hawaii County, Hawaii","112","99","12","0","0","70","5","6","6","13","0","0","0","0","0","2","11",
"1000000US150010201001003","Block 1003, Block Group 1, Census Tract 201, Hawaii County, Hawaii","17","12","6","0","0","0","0","0","6","5","0","0","0","0","1","1","3",
"1000000US150010201001004","Block 1004, Block Group 1, Census Tract 201, Hawaii County, Hawaii","32","26","2","0","0","5","7","0","12","6","0","0","0","0","0","0","6",
"1000000US150010201001005","Block 1005, Block Group 1, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201001006","Block 1006, Block Group 1, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201001007","Block 1007, Block Group 1, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201001008","Block 1008, Block Group 1, Census Tract 201, Hawaii County, Hawaii","34","32","4","0","0","14","2","1","11","2","0","0","0","0","0","0","2",
