"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Institutionalized population:"," !!Total:!!Institutionalized population:!!Correctional facilities for adults"," !!Total:!!Institutionalized population:!!Juvenile facilities"," !!Total:!!Institutionalized population:!!Nursing facilities/Skilled-nursing facilities"," !!Total:!!Institutionalized population:!!Other institutional facilities"," !!Total:!!Noninstitutionalized population:"," !!Total:!!Noninstitutionalized population:!!College/University student housing"," !!Total:!!Noninstitutionalized population:!!Military quarters"," !!Total:!!Noninstitutionalized population:!!Other noninstitutional facilities",
"1000000US150010201001000","Block 1000, Block Group 1, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201001001","Block 1001, Block Group 1, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201001002","Block 1002, Block Group 1, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201001003","Block 1003, Block Group 1, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201001004","Block 1004, Block Group 1, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201001005","Block 1005, Block Group 1, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201001006","Block 1006, Block Group 1, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201001007","Block 1007, Block Group 1, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201001008","Block 1008, Block Group 1, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201001009","Block 1009, Block Group 1, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201001010","Block 1010, Block Group 1, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
