X,Y,objectid,school,address,alt_address,city,cty_dist,island,state,zipcode,website,grades,gender,tuition21,faculty21,enrollment21
-158.185067325118,21.438037300676,1,Adventist Malama Elementary School,86-072 Farrington Hwy.,,Waianae,Oahu - Central/Leeward,Oahu,HI,96792,http://www.adventistmalama.org,K-8,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 5880.00; Grade 1: 5880.00; Grade 2: 5880.00; Grade 3: 5880.00; Grade 4: 5880.00; Grade 5: 5880.00; Grade 6: 5880.00; Grade 7: 5880.00; Grade 8: 5880.00; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Ed",3,55
-157.036234730822,21.1518068003414,2,Aka'ula School,1000  Kalae Highway,,Kualapuu,Molokai,Molokai,HI,96757,www.akaula.org,5th thru 12th,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: ; Grade 1: ; Grade 2: ; Grade 3: ; Grade 4: ; Grade 5: 10,000; Grade 6: 10,000; Grade 7: 10,000; Grade 8: 10,000; Grade 9: 10,000; Grade 10: 10,000; Grade 11: 10,000; Grade 12: 10,000; Higher Education: ",3,34
-157.917217158388,21.6148589020526,3,"Asia Pacific International School, Hawaii Campus",54-230 Kamehameha Hwy.,,Hauula,Oahu - Windward/North Shore,Oahu,HI,96717,www.apishawaii.org,K-12,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: $17,300; Grade 1: $17,300; Grade 2: $17,300; Grade 3: $17,300; Grade 4: $17,300; Grade 5: $20,400; Grade 6: $20,400; Grade 7: $20,400; Grade 8: $20,400; Grade 9: $21,500; Grade 10: $21,500; Grade 11: $21,500; ",16,150
-157.933958775622,21.3404581281177,4,Assets School,One Ohana Nui Way,,Honolulu,Oahu - Honolulu,Oahu,HI,96818,www.assets-school.org,K-12,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: $25,776; Grade 1: $25,776; Grade 2: $25,776; Grade 3: $25,776; Grade 4: $25,776; Grade 5: $25,776; Grade 6: $25,776; Grade 7: $25,776; Grade 8: $25,776; Grade 9: $27,155; Grade 10: $27,155; Grade 11: $27,155; ",59,325
-157.94819125223,21.3995268055883,5,Calvary Chapel Christian School,98-1016 Komo Mai Dr.,,Aiea,Oahu - Honolulu,Oahu,HI,96701,cccsofhonolulu.org,Kindergarten thru 12th,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 6300; Grade 1: 6300; Grade 2: 6300; Grade 3: 6300; Grade 4: 6300; Grade 5: 6300; Grade 6: 6300; Grade 7: 6405; Grade 8: 6405; Grade 9: 7455; Grade 10: 7455; Grade 11: 7455; Grade 12: 7455; Higher Education: ",15,133
-156.330903242811,20.8268818466686,6,Carden Academy of Maui,55 Maka'ena Pl.,,Makawao,Maui,Maui,HI,96768,www.cardenmaui.org,PreSchool thru 8th,Co-ed,"Early Childhood: ; PreSchool: $11,955; Kindergarten: $14,055; Grade 1: $14,055; Grade 2: $14,055; Grade 3: $14,055; Grade 4: $14,055; Grade 5: $14,055; Grade 6: $15,095; Grade 7: $15,095; Grade 8: $15,095; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Hi",11,156
-157.833665455099,21.2989119351216,7,Central Union Church Preschool & Kindergarten,1660 South Beretania Street,,Honolulu,Oahu - Honolulu,Oahu,HI,96826,www.centralunionpreschool.org,Toddler thru Kindergarten,Co-ed,"Early Childhood: $19,339.00; PreSchool: $16,759.00; Kindergarten: ; Grade 1: ; Grade 2: ; Grade 3: ; Grade 4: ; Grade 5: ; Grade 6: ; Grade 7: ; Grade 8: ; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Education: ",25,172
-157.902607052852,21.3656099622186,8,Christian Academy,3400 Moanalua Road,,Honolulu,Oahu - Honolulu,Oahu,HI,96819,www.capatriots.org,P3-12,Co-ed,"Early Childhood: ; PreSchool: 7606-10311; Kindergarten: 9080; Grade 1: 9080; Grade 2: 9080; Grade 3: 9080; Grade 4: 9080; Grade 5: 9080; Grade 6: 9350; Grade 7: 9350; Grade 8: 9350; Grade 9: 9685; Grade 10: 9685; Grade 11: 9685; Grade 12: 9685; Higher Edu",28,222
-155.029382097338,19.627858536511,9,Christian Liberty Academy,16-675 Milo Street,,Keaau,Hawaii (Big Island),Hawaii,HI,96749,www.clahawaii.org,PreSchool thru 12th,Co-ed,"Early Childhood: ; PreSchool: 8000; Kindergarten: 6500; Grade 1: 5500; Grade 2: 5500; Grade 3: 5500; Grade 4: 5500; Grade 5: 5500; Grade 6: 6500; Grade 7: 6500; Grade 8: 6500; Grade 9: 7250; Grade 10: 7250; Grade 11: 7250; Grade 12: 7250; Higher Education",24,198
-157.867346780338,21.3307787553633,10,Damien Memorial School,1401 Houghtailing Street,,Honolulu,Oahu - Honolulu,Oahu,HI,96817,www.damien.edu,6th thru 12th,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: ; Grade 1: ; Grade 2: ; Grade 3: ; Grade 4: ; Grade 5: ; Grade 6: $12,280; Grade 7: $12,532; Grade 8: $12,532; Grade 9: $16,392; Grade 10: $16,392; Grade 11: $16,392; Grade 12: $16,392; Higher Education: ",60,663
-156.371658624458,20.9032620968973,11,Doris Todd Christian Academy,519 Baldwin Avenue,,Paia,Maui,Maui,HI,96779,www.doristoddchristian.org,PreSchool thru 12th,Co-ed,"Early Childhood: ; PreSchool: 7693; Kindergarten: 7693; Grade 1: 7693; Grade 2: 7693; Grade 3: 7693; Grade 4: 7693; Grade 5: 7693; Grade 6: 8149; Grade 7: 8149; Grade 8: 8149; Grade 9: 8149; Grade 10: 8149; Grade 11: 8149; Grade 12: 8149; Higher Education",15,186
-158.039166894561,21.3374462184897,12,Friendship Christian Schools,91-1130 Renton Road,91-1207 Renton Road,Ewa,Oahu - Central/Leeward,Oahu,HI,96706,www.fcshawaii.org,PreSchool thru 12th,Co-ed,"Early Childhood: ; PreSchool: 5157; Kindergarten: 5157; Grade 1: 5157; Grade 2: 5157; Grade 3: 5157; Grade 4: 5157; Grade 5: 5157; Grade 6: 5157; Grade 7: 5157; Grade 8: 5157; Grade 9: 5157; Grade 10: 5157; Grade 11: 5157; Grade 12: 5157; Higher Education",24,264
