X,Y,objectid,sch_code,sch_name,address,city,zip,phone,fax,principal,grade_from,grade_to,sch_type,website,complex,complex_area,district,island,charter,editdate
-158.000581541559,21.3931193128623,1,250,Ahrens Elementary,94-1170 Waipahu Street,Waipahu,96797,808.675.0202,808.675.0216,Hanh Quang Nguyen,K,6,Elementary,http://www.augustahrens.org/,Waipahu,Pearl City-Waipahu,Leeward,Oahu,0,2023/02/02 00:00:00+00
-157.830406613347,21.4355995288096,2,335,Ahuimanu Elementary,47-470 Hui Aeko Place,Kaneohe,96744,808.239.3125,808.239.3127,Kimi Yuki Ikeda,K,6,Elementary,https://sites.google.com/a/ahuimanu.k12.hi.us/ahuimanu-school/home,Castle,Castle-Kahuku,Windward,Oahu,0,2023/02/02 00:00:00+00
-157.928745873278,21.3760784996726,3,200,Aiea Elementary,99-370 Moanalua Road,Aiea,96701,808.305.4400,808.483.7201,James L Kau,K,6,Elementary,http://www.aieaelementary.com/,Aiea,Aiea Moanalua-Radford,Central,Oahu,0,2023/02/02 00:00:00+00
-157.930591235472,21.3838241809291,4,202,Aiea High,98-1276 Ulune Street,Aiea,96701,808.305.6500,808.483.7303,Shannon Lee Tamashiro,9,12,High,http://www.aieahs.org/,Aiea,Aiea Moanalua-Radford,Central,Oahu,0,2023/02/02 00:00:00+00
-157.922707947652,21.382327994565,5,201,Aiea Intermediate,99-600 Kulawea Street,Aiea,96701,808.305.7230,808.483.7235,Tom H Kurashige,7,8,Middle,http://www.aieais.k12.hi.us/,Aiea,Aiea Moanalua-Radford,Central,Oahu,0,2023/02/02 00:00:00+00
-157.749171239015,21.4244395443524,6,300,Aikahi Elementary,281 Ilihau Street,Kailua,96734,808.254.7944,808.254.7962,Keoki L Fraser,K,6,Elementary,http://www.aikahielementary.com/,Kalaheo,Kailua-Kalaheo,Windward,Oahu,0,2023/02/02 00:00:00+00
-157.755568848611,21.2791557483,7,100,Aina Haina Elementary,801 West Hind Drive,Honolulu,96821,808.377.2419,808.377.2426,Brendan P Burns,K,5,Elementary,http://www.ainahaina.k12.hi.us,Kaiser,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-157.82631108825,21.2849081265424,8,101,Ala Wai Elementary,503 Kamoku Street,Honolulu,96826,808.973.0070,808.973.0081,Michelle Danette Debusca,K,5,Elementary,http://www.alawaielementary.org/,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-157.912176471647,21.3428662419388,9,203,Aliamanu Elementary,3265 Salt Lake Blvd.,Honolulu,96818,808.421.4280,808.421.4283,Sandra S Yoshimi,K,6,Elementary,http://aliamanu.k12.hi.us/,Radford,Aiea Moanalua-Radford,Central,Oahu,0,2023/02/02 00:00:00+00
-157.915332067428,21.3442682942377,10,204,Aliamanu Middle,3271 Salt Lake Blvd.,Honolulu,96818,808.421.4100,808.421.4103,Albert M IV Hetrick,7,8,Middle,http://www.aliamanumiddle.org,Radford,Aiea Moanalua-Radford,Central,Oahu,0,2023/02/02 00:00:00+00
-157.804135478503,21.2863680699744,11,102,Aliiolani Elementary,1240 7th Avenue,Honolulu,96816,808.733.4750,808.733.4758,Joseph Andrew Passantino,K,5,Elementary,http://www.aliiolani.k12.hi.us/,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-157.78889612386,21.3041692696603,12,103,Ke Kula Kaiapuni O Anuenue,2528 10th Avenue,Honolulu,96816,808.733.8465,808.733.8467,Glen K Miyasato,K,12,Elementary-Middle-High,http://home.anuenue.org/,Roosevelt,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-156.49126071407,20.8889117357704,13,400,Baldwin High,1650 Kaahumanu Avenue,Wailuku,96793,808.984.5656,808.984.5674,Catherine L Kilborn,9,12,High,http://www.baldwin.k12.hi.us/,Baldwin,Baldwin-Kekaulike-Maui,Maui,Maui,0,2023/02/02 00:00:00+00
-158.080676628982,21.3232184911375,14,251,Barbers Point Elementary,3001 Boxer Road,Kapolei,96707,808.673.7400,808.673.7403,Jaclyn Susan Riel,K,5,Elementary,http://barbers.k12.hi.us/,Kapolei,Campbell-Kapolei,Leeward,Oahu,0,2023/02/02 00:00:00+00
-158.007412733715,21.3153024438237,15,252,Campbell High,91-980 North Road,Ewa Beach,96706,808.689.1200,808.689.1242,Jonhenry Sau Chen Lee,9,12,High,http://www.campbellhigh.org/,Campbell,Campbell-Kapolei,Leeward,Oahu,0,2023/02/02 00:00:00+00
-157.794958067551,21.4046394548998,16,301,Castle High,45-386 Kaneohe Bay Drive,Kaneohe,96744,808.233.5600,808.233.5623,Bernadette L S Tyrell,9,12,High,http://www.castlehs.k12.hi.us/,Castle,Castle-Kahuku,Windward,Oahu,0,2023/02/02 00:00:00+00
-157.8568665592,21.3107265616062,17,104,Central Middle,1302 Queen Emma Street,Honolulu,96813,808.587.4400,808.587.4409,Anne Marie Lynn Murphy,6,8,Middle,https://sites.google.com/site/centralmiddleschoolhonolulu/,McKinley,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-155.114473891545,19.7097610185974,18,351,DeSilva Elementary,278 Ainako Avenue,Hilo,96720,808.974.4855,808.974.4858,Dennis R O'Brien,K,6,Elementary,http://www.desilva.k12.hi.us/,Hilo,Hilo-Waiakea,Hawaii,Hawaii,0,2023/02/02 00:00:00+00
