OBJECTID_1,OBJECTID,permit_no,PROJTITLE,START_DATE,FINISH_DAT,STREET_NAM,PAVED_DATE,SHAPE_Length
1,1243,08-0453-3616,"Rehabilitation of Streets, Unit 55 (Pearl City Area)",2013/03/18 00:00:00+00,2013/10/13 00:00:00+00,Nahele St,2013/09/04 00:00:00+00,0.00058967076676687
2,1245,09-0624-6264,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Keahilele Pl,2013/09/24 00:00:00+00,0.000567091436330764
3,1246,13-0959-12971,"Rehabilitation of Localized Streets, Phase 13C (North Shore)",2015/04/13 00:00:00+00,2016/04/07 00:00:00+00,Alapio Rd,2015/07/29 00:00:00+00,0.00706064521203311
4,1247,06-0577-12785,"Rehabilitation of Localized Streets, Phase 13B (Kaneohe Area: Kokokahi/Mahinui, Pikoiloa, Puohala Village and Waikalua)",2016/08/22 00:00:00+00,2017/06/02 00:00:00+00,Puohala St,2017/07/31 00:00:00+00,0.00197302023553856
5,1248,13-0194-10296,"Rehabilitation of Localized Streets, Phase 11C (Kalama Valley, Kamehame Ridge, Hawaii Kai)",2014/12/01 00:00:00+00,2015/12/02 00:00:00+00,Kalanipuu St,2015/02/12 00:00:00+00,0.000677880300368827
6,1249,09-0771-12039,"Rehabilitation of Localized Streets, Phase 7B (Kalihi Valley, Ewa Beach, West Loch, and Ewa Villages Areas)",2012/07/02 00:00:00+00,2014/04/15 00:00:00+00,Paaniana St,2013/02/08 00:00:00+00,0.00103709853897006
7,1250,09-0598-6384,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Kuilei St,2013/01/28 00:00:00+00,0.00146075458690051
8,1251,09-0624-6249,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Kaloapau St,2013/09/20 00:00:00+00,0.000792311894073668
9,1252,14-0553-13274,"Rehabilitation of Localized Streets, Phase 12A (Kalihi, Kamehameha Heights, Alewa)",2015/04/06 00:00:00+00,2015/11/16 00:00:00+00,Auld Ln,2015/06/02 00:00:00+00,0.000379467581816541
10,1253,08-0587-8172,"Rehabilitation of Streets, Unit 57 (Kaimuki)",2012/07/02 00:00:00+00,2014/09/19 00:00:00+00,Waialae Ave,2014/07/30 00:00:00+00,0.000642874457968515
11,1254,09-0598-6355,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Lime St,2013/01/28 00:00:00+00,0.0012169822547334
12,1255,14-0553-13254,"Rehabilitation of Localized Streets, Phase 12A (Kalihi, Kamehameha Heights, Alewa)",2015/04/06 00:00:00+00,2015/11/16 00:00:00+00,Ola Ln,2015/05/12 00:00:00+00,0.000459254946076389
13,1256,14-0553-13058,"Rehabilitation of Localized Streets, Phase 12A (Kalihi, Kamehameha Heights, Alewa)",2015/04/06 00:00:00+00,2015/11/16 00:00:00+00,Konia St,2015/06/15 00:00:00+00,0.000551139347606692
14,1257,09-0771-12001,"Rehabilitation of Localized Streets, Phase 7B (Kalihi Valley, Ewa Beach, West Loch, and Ewa Villages Areas)",2012/07/02 00:00:00+00,2014/04/15 00:00:00+00,Bond St,2013/01/25 00:00:00+00,0.000677577299223008
15,1258,13-0194-10291,"Rehabilitation of Localized Streets, Phase 11C (Kalama Valley, Kamehame Ridge, Hawaii Kai)",2014/12/01 00:00:00+00,2015/12/02 00:00:00+00,Eleele Pl,2015/04/02 00:00:00+00,0.000719459806122188
16,1259,11-0011-10003,"Rehabilitation of Localized Streets, Phase 11A Waialae Nui, Waialae Iki, Aina Haina",2014/01/06 00:00:00+00,2015/02/07 00:00:00+00,Ahuawa Lp,2014/09/08 00:00:00+00,0.00390860720083752
17,1260,04-1094-3656,"Rehabilitation of Streets, Unit 25 (Lunalilo Home Road, Wailua Street, Hawaii Kai Dr, Niumalu Loop, Kamilo St, Naakea St, Kukii St, Paoo St, Opai St, Kokomo Pl., Halaula Pl, Naakea Pl., Olohena St, Hoopii Pl.)",2013/03/04 00:00:00+00,2014/03/10 00:00:00+00,Kamilo St,2013/06/26 00:00:00+00,0.000450487054406586
18,1261,13-0194-10305,"Rehabilitation of Localized Streets, Phase 11C (Kalama Valley, Kamehame Ridge, Hawaii Kai)",2014/12/01 00:00:00+00,2015/12/02 00:00:00+00,Kuahono St,2015/03/16 00:00:00+00,0.00312407257693139
19,1262,11-0011-10023,"Rehabilitation of Localized Streets, Phase 11A Waialae Nui, Waialae Iki, Aina Haina",2014/01/06 00:00:00+00,2015/02/07 00:00:00+00,Malia St,2014/06/18 00:00:00+00,0.000740507003750925
20,1263,13-0195-9942,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Anapalau St,2015/09/10 00:00:00+00,0.00284444507013628
21,1264,10-0402-11070,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Kuaaina Way,2013/08/28 00:00:00+00,0.00100130774774359
22,1265,13-0562-13731,"Rehabilitation of Localized Streets, Phase 14A (Palolo Valley)",2015/08/03 00:00:00+00,2016/09/09 00:00:00+00,Pooleka St,2015/10/28 00:00:00+00,0.000487331765023841
