X,Y,OBJECTID,ENABLED,ANCILLARYROLE,SEWERID,BASINID,PROJECTID,STATUS,OWNER,DATEINSTALLED,DATEDIGITIZED,DATEMODIFIED,ADDRESS,TANKCAPACITY,GLOBALID,PUMPTYPE,TMK,LPPUMPSUBTYPE,NO_PUMPS,NEIGHBORHOOD,GROUNDELEV
-157.900491056,21.3419527250001,1,1,0,4016328,SI,6255,ACT,PVT,1998/12/07 00:00:00+00,2003/04/01 00:00:00+00,2003/07/23 00:00:00+00,830  MAPUNAPUNA ST,,{78F1D7D0-54EC-418A-9CA9-445C80C911F3},LP,11005036,1,,AIRPORT,
-157.89963891,21.3408624640001,2,1,0,4016541,SI,6255,ACT,PVT,1998/12/07 00:00:00+00,2003/04/02 00:00:00+00,2003/07/23 00:00:00+00,819  MAPUNAPUNA ST,,{8CC876B1-CC5A-449A-9FD9-EDEABBE3E6B3},LP,11005079,1,,AIRPORT,
-157.896837087,21.337801128,3,1,0,4016777,SI,6255,ACT,PVT,1998/12/07 00:00:00+00,2003/04/02 00:00:00+00,2003/07/23 00:00:00+00,719  AHUA ST,,{71FFACC4-BAB9-44B6-999B-43A234C20B9A},LP,11005099,1,,AIRPORT,
-157.894635742,21.3405769250001,4,1,0,4016809,SI,6255,ACT,PVT,1998/12/07 00:00:00+00,2003/04/02 00:00:00+00,2003/07/23 00:00:00+00,889  AHUA ST,,{1EB47D71-B674-4C4F-AB47-A6560DF0FE91},LP,11005111,1,,AIRPORT,
-157.929533059,21.6490544550001,5,1,0,4042799,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-600  NANILOA LP,,{ABD38DB8-1844-41CF-9E87-A46510BE3295},LP,55004002,1,,LAIE,
-157.92577278,21.649971184,6,1,0,4041423,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-102  KULANUI LANE,,{5F6D2003-F004-4D5E-AECD-9D0E0CFE9F90},LP,55015030,1,,LAIE,
-157.926761327,21.645500758,7,1,0,4041252,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2015/09/16 14:25:00+00,55-537  NANILOA LP,,{227473D9-897D-4BE8-9EFE-68C208408BA1},LP,55012119,1,,LAIE,
-157.926051751,21.6453420760001,8,1,0,4041256,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-518  MOANA ST,,{1B764A6E-C4A9-40B3-8FF5-F3282BE4A973},LP,55012033,1,,LAIE,
-157.930774037,21.6521259250001,9,1,0,4041271,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-706C1 WAHINEPEE ST,,{7960EA3A-4043-4DA0-80C1-FA216122276D},LP,55017036,1,,LAIE,
-157.929900059,21.6523429540001,10,1,0,4041274,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-706  WAHINEPEE ST,,{1B71DA67-9A58-47EE-AED8-C33765B8D2DE},LP,55017026,1,,LAIE,
-157.929763289,21.652182075,11,1,0,4041275,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-702A WAHINEPEE ST,,{A5C8D2F3-5B1D-4E54-8F25-A9DB28D095D8},LP,55017025,1,,LAIE,
-157.931063963,21.6508962190001,12,1,0,4041294,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-133B POOHAILI ST,,{6144E896-6E02-4FDE-B8D2-2B8C613B8516},LP,55017043,1,,LAIE,
