X,Y,objectid,name,licensed_beds,island,mailing_address,physical_address,phone,alt_phone,fax,poc,website,adult_day,cert_num
-157.848941330206,21.3231742927242,1,15 CRAIGSIDE,41,OAHU,"15 Craigside Place, Honolulu, Hawaii 96817",,(808) 523-7000,,(888) 446-3218,"Keleka Ho’okano, Administrator; Bree Komagome, Chief Operating Officer",https://arcadia.org/15-craigside,,125063
-157.797666000352,21.3983910002156,2,ALOHA NURSING & REHAB CENTRE,141,OAHU,"45-545 Kamehameha Highway, Kaneohe, Hawaii  96744",,(808) 247-2220,,(808) 235-3676,"Amy Lee, NHA and Chief Executive Officer",https://www.alohanursing.com/,,125038
-157.795144477048,21.4145174773288,3,ANN PEARL NURSING FACILITY,104,OAHU,"45-181 Waikalua Road, Kaneohe, Hawaii   96744",,(808) 247-8558,,(808) 247-4115,"Alisa Racelo, Administrator",https://ohanapacific.com/locations/oahu/kaneohe/ann-pearl/,Yes,125048
-157.833494335324,21.3016116705911,4,ARCADIA RETIREMENT RESIDENCE,91,OAHU,"1434 Punahou Street, Honolulu, Hawaii  96822",,(808) 941-0941,,(808) 949-4965,"Jonathan Shiraki, Administrator",https://arcadia.org/,,125014
-157.870277999863,21.3457049996789,5,"AVALON CARE CENTER – HONOLULU, LLC",108,OAHU,"1930 Kamehameha IV Road, Honolulu, Hawaii  96819",,(808) 847-4834,,(808) 848-8020,"Nainoa Heaston, Administrator",https://www.avalonhealthcare.com/honolulu/,,125020
-157.855101044074,21.3227828371686,6,THE CARE CENTER OF HONOLULU,182,OAHU,"1900 Bachelot Street, Honolulu, Hawaii  96817",,(808) 531-5302,,(808) 538-3219,"Marlen Resiwain, Administrator",https://www.ccoh.us/,,125019
-157.852669500293,21.3297389995656,7,CLARENCE T.C. CHING VILLAS AT ST. FRANCIS,119,OAHU,"2230 Liliha Street, Honolulu, Hawaii  96817",,(808) 547-6000,,(808) 547-6095,"Hershel Caywood, Administrator",https://www.ccoh.us/,,125064
-159.366381094968,21.9856648453449,8,GARDEN ISLE HEALTHCARE & REHABILITATION CENTER,110,KAUAI,"3-3420 Kuhio Highway #300, Lihue, Hawaii  96766",,(808) 245-1802,,(808) 245-6515,"Bronson Ho, Administrator",https://ohanapacific.com/locations/kauai/lihue/garden-isle-rehabilitation-healthcare-center/,,125004
-155.114468390254,19.7172946184425,9,HALE ANUENUE RESTORATIVE CARE CENTER,120,HAWAII,"1333 Waianuenue Avenue, Hilo, Hawaii  96720",,(808) 961-6644,,(808) 961-6630,"Gail Kaho’okele, Executive Director",https://lcca.com/locations/hi/hale-anuenue/,,125045
-157.843139362992,21.3243184730383,10,HALE HO ALOHA,59,OAHU,"2670 Pacific Heights Road, Honolulu, Hawaii  96813",,(808) 524-1955,,(808) 537-5418,"Bryce Sumida, DPT, Administrator",https://halehoaloha.com/,,
-155.470497980713,20.0763919844293,11,HALE HO’OLA HAMAKUA,66,HAWAII,"45-547 Plumeria Street, Honokaa, Hawaii  96727",,(808) 932-4100,,(808) 775-9977,"Denise Mackey, Interim Administrator",https://www.halehoolahamakua.org/,,125032
-159.485881955292,21.9260062851092,12,"HALE KUPUNA HERITAGE HOME, LLC",84,KAUAI,"P.O. Box 1287, Koloa, Hawaii  96756-1287","4297 A Omao Road, Koloa, Hawaii  96756",(808) 742-7591,,(808) 742-6563,"Jacob Mauer, Administrator",https://ohanapacific.com/locations/kauai/koloa/hale-kupuna-heritage-home/,,125062
-156.476251998797,20.8792012316913,13,HALE MAKUA HEALTH SERVICES (KAHULUI),254,MAUI,"472 Kaulana Street, Kahului, Hawaii  96732",,(808) 877-2761,,(808) 871-9262,"Teana Kaho’ohanohano, Administrator",https://www.halemakua.org/,Yes,125007
