objectid,fid_kau_ce,segmentid,st_fullnm,st_pre,st_name,st_type,st_suf,a1_fullnm,a1_st_pre,a1_st_name,a1_st_type,a1_st_suf,a2_fullnm,a2_st_pre,a2_st_name,a2_st_type,a2_st_suf,route_num,route_type,lf_addr,lt_addr,rf_addr,rt_addr,oneway,from_elev,to_elev,paved,private,geo_source,name,st_lengthshape
1,608,2349,KUHIO HWY, ,KUHIO,HWY, ,HI-56, ,HI-56, , , , , , , ,56,3,42101, , , ,0,0,0,Y,N,1,KUHIO HWY,381.844325194866
2,667,1280,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18398,18358,18399,18359,0,0,0,Y,N,1,KAUMUALII HWY,297.249397205008
3,674,1307,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18098,18000,18099,18001,0,0,0,Y,N,1,KAUMUALII HWY,234.002314662347
4,678,1311,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,17998,17900,17999,17901,0,0,0,Y,N,1,KAUMUALII HWY,271.462677135973
5,786,281,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,10998,10952,10999,10953,0,0,0,Y,N,1,KAUMUALII HWY,5.64747201964241
6,1129,3402,KUHIO HWY, ,KUHIO,HWY, ,HI-560, ,HI-560, , , , , , , ,560,3,56701,56799,56700,56798,0,0,0,Y,N,1,KUHIO HWY,51.7454540791002
7,1145,3502,KUHIO HWY, ,KUHIO,HWY, ,HI-560, ,HI-560, , , , , , , ,560,0,57093,57149,57090,57148,0,0,0,Y,N,1,KUHIO HWY,2.55887154137838
8,1178,1234,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18898,18880,18899,18881,0,0,0,Y,N,1,KAUMUALII HWY,95.67795236247
9,1182,1238,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18701,18749,18700,18748,0,0,0,Y,N,1,KAUMUALII HWY,25.2721050758027
10,1190,1246,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18598,18550,18599,18551,0,0,0,Y,N,1,KAUMUALII HWY,253.518281665348
11,1202,1258,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18548,18500,18549,18501,0,0,0,Y,N,1,KAUMUALII HWY,135.162933842522
12,1211,1267,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18462,18400,18463,18401,0,0,0,Y,N,1,KAUMUALII HWY,129.30488409079
