"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","758","120","483","99","275","60",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","332","100","267","101","65","45",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","210","61","149","50","61","40",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","320","82","193","54","127","52",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","241","51","154","37","87","42",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","410","70","349","69","61","25",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","258","60","211","62","47","34",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","560","133","157","70","403","117",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","880","130","246","71","634","131",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","350","128","174","100","176","75",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","259","103","78","56","181","98",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","461","140","172","59","289","139",
"1500000US150010204004","Block Group 4, Census Tract 204, Hawaii County, Hawaii","230","73","97","44","133","64",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","443","144","15","24","428","149",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","182","70","88","58","94","62",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","254","145","48","45","206","148",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","616","165","156","96","460","161",
"1500000US150010205005","Block Group 5, Census Tract 205, Hawaii County, Hawaii","635","137","194","89","441","146",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","344","84","158","74","186","63",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","496","73","344","54","152","64",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","302","37","268","36","34","14",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","704","61","588","61","116","36",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","928","120","503","101","425","107",
"1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii","425","92","266","97","159","71",
"1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii","425","81","337","76","88","62",
"1500000US150010207021","Block Group 1, Census Tract 207.02, Hawaii County, Hawaii","498","80","460","79","38","30",
"1500000US150010207022","Block Group 2, Census Tract 207.02, Hawaii County, Hawaii","774","105","633","99","141","70",
"1500000US150010207023","Block Group 3, Census Tract 207.02, Hawaii County, Hawaii","439","62","382","63","57","35",
"1500000US150010208011","Block Group 1, Census Tract 208.01, Hawaii County, Hawaii","976","119","816","123","160","66",
"1500000US150010208012","Block Group 2, Census Tract 208.01, Hawaii County, Hawaii","550","69","454","77","96","71",
"1500000US150010208021","Block Group 1, Census Tract 208.02, Hawaii County, Hawaii","484","100","326","100","158","75",
"1500000US150010208022","Block Group 2, Census Tract 208.02, Hawaii County, Hawaii","782","152","562","136","220","118",
"1500000US150010208023","Block Group 3, Census Tract 208.02, Hawaii County, Hawaii","217","68","187","64","30","34",
"1500000US150010208024","Block Group 4, Census Tract 208.02, Hawaii County, Hawaii","809","110","470","118","339","116",
"1500000US150010209001","Block Group 1, Census Tract 209, Hawaii County, Hawaii","309","75","236","55","73","58",
"1500000US150010209002","Block Group 2, Census Tract 209, Hawaii County, Hawaii","484","87","421","83","63","49",
"1500000US150010209003","Block Group 3, Census Tract 209, Hawaii County, Hawaii","890","103","678","112","212","87",
"1500000US150010210031","Block Group 1, Census Tract 210.03, Hawaii County, Hawaii","703","136","463","143","240","123",
"1500000US150010210032","Block Group 2, Census Tract 210.03, Hawaii County, Hawaii","615","128","490","114","125","65",
"1500000US150010210033","Block Group 3, Census Tract 210.03, Hawaii County, Hawaii","1183","159","710","127","473","126",
"1500000US150010210051","Block Group 1, Census Tract 210.05, Hawaii County, Hawaii","825","265","599","222","226","156",
"1500000US150010210052","Block Group 2, Census Tract 210.05, Hawaii County, Hawaii","699","203","573","196","126","107",
"1500000US150010210053","Block Group 3, Census Tract 210.05, Hawaii County, Hawaii","1558","295","1411","312","147","118",
"1500000US150010210054","Block Group 4, Census Tract 210.05, Hawaii County, Hawaii","711","250","711","250","0","11",
"1500000US150010210101","Block Group 1, Census Tract 210.10, Hawaii County, Hawaii","1385","229","1110","215","275","133",
"1500000US150010210102","Block Group 2, Census Tract 210.10, Hawaii County, Hawaii","1005","156","750","137","255","80",
"1500000US150010210103","Block Group 3, Census Tract 210.10, Hawaii County, Hawaii","910","176","758","164","152","79",
"1500000US150010210111","Block Group 1, Census Tract 210.11, Hawaii County, Hawaii","909","177","752","187","157","108",
"1500000US150010210112","Block Group 2, Census Tract 210.11, Hawaii County, Hawaii","554","154","366","151","188","99",
"1500000US150010210131","Block Group 1, Census Tract 210.13, Hawaii County, Hawaii","414","95","288","84","126","66",
"1500000US150010210132","Block Group 2, Census Tract 210.13, Hawaii County, Hawaii","513","120","347","99","166","99",
"1500000US150010210133","Block Group 3, Census Tract 210.13, Hawaii County, Hawaii","755","128","593","119","162","66",
"1500000US150010211011","Block Group 1, Census Tract 211.01, Hawaii County, Hawaii","1298","137","1070","134","228","76",
"1500000US150010211012","Block Group 2, Census Tract 211.01, Hawaii County, Hawaii","245","103","222","100","23","37",
"1500000US150010211061","Block Group 1, Census Tract 211.06, Hawaii County, Hawaii","321","111","216","94","105","60",
"1500000US150010211062","Block Group 2, Census Tract 211.06, Hawaii County, Hawaii","737","181","605","171","132","122",
"1500000US150010211063","Block Group 3, Census Tract 211.06, Hawaii County, Hawaii","1207","243","867","230","340","160",
"1500000US150010211064","Block Group 4, Census Tract 211.06, Hawaii County, Hawaii","621","119","433","115","188","62",
"1500000US150010212021","Block Group 1, Census Tract 212.02, Hawaii County, Hawaii","466","121","345","99","121","64",
"1500000US150010212022","Block Group 2, Census Tract 212.02, Hawaii County, Hawaii","1532","290","1128","257","404","217",
"1500000US150010212023","Block Group 3, Census Tract 212.02, Hawaii County, Hawaii","757","153","602","132","155","90",
"1500000US150010212024","Block Group 4, Census Tract 212.02, Hawaii County, Hawaii","376","77","279","70","97","37",
"1500000US150010213001","Block Group 1, Census Tract 213, Hawaii County, Hawaii","1040","204","678","172","362","164",
"1500000US150010213002","Block Group 2, Census Tract 213, Hawaii County, Hawaii","879","194","487","167","392","177",
"1500000US150010213003","Block Group 3, Census Tract 213, Hawaii County, Hawaii","455","136","241","82","214","120",
"1500000US150010214021","Block Group 1, Census Tract 214.02, Hawaii County, Hawaii","488","97","341","78","147","63",
"1500000US150010214022","Block Group 2, Census Tract 214.02, Hawaii County, Hawaii","327","94","142","64","185","69",
"1500000US150010214023","Block Group 3, Census Tract 214.02, Hawaii County, Hawaii","559","130","352","116","207","105",
"1500000US150010215021","Block Group 1, Census Tract 215.02, Hawaii County, Hawaii","1150","164","719","141","431","133",
"1500000US150010215022","Block Group 2, Census Tract 215.02, Hawaii County, Hawaii","573","101","353","90","220","96",
"1500000US150010215041","Block Group 1, Census Tract 215.04, Hawaii County, Hawaii","894","108","391","82","503","96",
"1500000US150010215042","Block Group 2, Census Tract 215.04, Hawaii County, Hawaii","513","85","463","80","50","30",
"1500000US150010215071","Block Group 1, Census Tract 215.07, Hawaii County, Hawaii","1492","197","1125","203","367","138",
"1500000US150010215072","Block Group 2, Census Tract 215.07, Hawaii County, Hawaii","443","100","345","102","98","72",
"1500000US150010215073","Block Group 3, Census Tract 215.07, Hawaii County, Hawaii","1638","207","1080","174","558","154",
"1500000US150010215091","Block Group 1, Census Tract 215.09, Hawaii County, Hawaii","828","131","487","130","341","141",
"1500000US150010215092","Block Group 2, Census Tract 215.09, Hawaii County, Hawaii","979","151","672","163","307","121",
"1500000US150010215093","Block Group 3, Census Tract 215.09, Hawaii County, Hawaii","597","133","462","128","135","80",
"1500000US150010216011","Block Group 1, Census Tract 216.01, Hawaii County, Hawaii","526","141","403","126","123","90",
"1500000US150010216012","Block Group 2, Census Tract 216.01, Hawaii County, Hawaii","766","172","332","149","434","139",
"1500000US150010216013","Block Group 3, Census Tract 216.01, Hawaii County, Hawaii","646","116","559","121","87","85",
"1500000US150010216014","Block Group 4, Census Tract 216.01, Hawaii County, Hawaii","460","151","134","68","326","160",
"1500000US150010216015","Block Group 5, Census Tract 216.01, Hawaii County, Hawaii","914","205","258","94","656","199",
"1500000US150010216041","Block Group 1, Census Tract 216.04, Hawaii County, Hawaii","277","107","219","99","58","45",
"1500000US150010216042","Block Group 2, Census Tract 216.04, Hawaii County, Hawaii","1226","246","597","168","629","241",
"1500000US150010216043","Block Group 3, Census Tract 216.04, Hawaii County, Hawaii","288","133","184","108","104","103",
"1500000US150010216044","Block Group 4, Census Tract 216.04, Hawaii County, Hawaii","1022","172","811","158","211","119",
"1500000US150010216045","Block Group 5, Census Tract 216.04, Hawaii County, Hawaii","589","132","452","116","137","110",
"1500000US150010217021","Block Group 1, Census Tract 217.02, Hawaii County, Hawaii","1124","238","489","138","635","225",
"1500000US150010217022","Block Group 2, Census Tract 217.02, Hawaii County, Hawaii","724","215","504","175","220","152",
"1500000US150010217023","Block Group 3, Census Tract 217.02, Hawaii County, Hawaii","1551","216","935","208","616","173",
"1500000US150010217041","Block Group 1, Census Tract 217.04, Hawaii County, Hawaii","557","101","375","68","182","79",
"1500000US150010217042","Block Group 2, Census Tract 217.04, Hawaii County, Hawaii","636","146","460","122","176","118",
"1500000US150010217043","Block Group 3, Census Tract 217.04, Hawaii County, Hawaii","1088","164","770","164","318","147",
"1500000US150010217044","Block Group 4, Census Tract 217.04, Hawaii County, Hawaii","925","143","724","143","201","93",
"1500000US150010218001","Block Group 1, Census Tract 218, Hawaii County, Hawaii","372","70","268","65","104","33",
"1500000US150010218002","Block Group 2, Census Tract 218, Hawaii County, Hawaii","895","174","691","200","204","168",
"1500000US150010218003","Block Group 3, Census Tract 218, Hawaii County, Hawaii","594","123","440","107","154","67",
"1500000US150010218004","Block Group 4, Census Tract 218, Hawaii County, Hawaii","251","70","187","70","64","29",
"1500000US150010219021","Block Group 1, Census Tract 219.02, Hawaii County, Hawaii","515","111","361","102","154","91",
"1500000US150010219022","Block Group 2, Census Tract 219.02, Hawaii County, Hawaii","235","70","110","53","125","57",
"1500000US150010219023","Block Group 3, Census Tract 219.02, Hawaii County, Hawaii","396","76","306","70","90","46",
