X,Y,objectid,wwtp_name,county,permit,uic_num,tmk,type,owner_type,class,atu_date,lat_dd,long_dd,shape
-156.340177542349,20.8760645710481,1,Haliimaile Waste Stabilization Ponds,Maui,101,,225003005,WWTP,Private,1,NULL,20.876068,-156.340192,
-155.987058530374,20.7593185705844,2,"5,000 gpd Hana Kai WWTP",Maui,102,UM-2005,214005040,WWTP,Private,,1/24/2020,20.759322,-155.987073,
-156.504266545808,20.7966505644052,3,Hono Kai Resort - See 103b for replacement plant,Maui,103,UM-1871,238014002,WWTP,Private,1,10/22/2007,20.796654,-156.504281,
-156.639600550621,20.8570375658071,4,"Mitchell Residence WWTP - 3,000 gpd",Maui,104,,247011015,WWTP,Private,,9/30/2021,20.857041,-156.639615,
-156.536503547648,20.8829195691248,5,"Hawaii Nature Ctr - 2,500 gpd",Maui,105,,233003006,WWTP,Private,2,11/26/1982,20.882923,-156.536518,
-156.507326546099,20.7950965648449,6,Maui Island Sands Resort,Maui,106,UM-1345,238014015,WWTP,Private,2,12/17/1974,20.7951,-156.507341,
-156.505608545862,20.7963685647604,7,"Kana'i A Nalu Condo - 32,000 gpd",Maui,107,UM-1863,238014004,WWTP,Private,2,12/8/1976,20.796372,-156.505623,
-156.668590552887,20.9350945696889,8,"1,200 GPD WWTP for Johnson Residence (6 bedrm)",Maui,108,,244020024,WWTP,Private,,10/28/2021,20.935098,-156.668605,
-156.50783654525,20.7944295645088,9,"21,000 gpd Lauloa Condo WWTP",Maui,110,UM-1327,238014016,WWTP,Private,2,1/28/2021,20.794433,-156.507851,
-156.506768545893,20.7954515642849,10,"Maalaea Banyans Condo - 20,000 gpd",Maui,111,UM-1272,238014013,WWTP,Private,2,10/6/1978,20.795455,-156.506783,
-156.509155546065,20.793385564688,11,"Maalaea Kai Condo - 27,000 gpd",Maui,112,UM-1273,238014021,WWTP,Private,1,10/25/1974,20.793389,-156.50917,
-156.510502545597,20.7924785640726,12,"Maalaea Mermaid Condo - 8,200 gpd",Maui,113,UM-1864,238014026,WWTP,Private,1,8/26/1980,20.792482,-156.510517,
-156.509899545706,20.7930355645317,13,"Maalaea Yacht Marina - 15,000 gpd",Maui,114,UM-1235,238014024,WWTP,Private,2,5/25/1979,20.793039,-156.509914,
-156.504065545336,20.7969175643902,14,"Makani A Kai Condo - 8,400 gpd",Maui,115,UM-1870,238014016,WWTP,Private,2,11/2/1979,20.796921,-156.50408,
-156.431503540825,20.648169557764,15,"Makena Resort - 720,000 gpd",Maui,116,,221008108,Reuse R1,Private,3,5/7/1986,20.648173,-156.431518,
-156.509263545894,20.7927995648474,16,"Milowai Maalea Condo - 21,000 gpd",Maui,117,UM-1329,223008014,WWTP,Private,1,12/5/1978,20.792803,-156.509278,
-156.354198541835,20.8299805688655,17,"Pukalani WWTP - 400,000 gpd",Maui,118,,223061116,Reuse R1,Private,2,3/11/2011,20.829984,-156.354213,
-156.512952546698,20.827141566318,18,Kahili Golf Course WWTP,Maui,119,,236002002,WWTP,Private,2,9/10/1991,20.827145,-156.512967,
-156.460388545822,20.8913095702028,19,"Midway Ctr - 1,200 gpd",Maui,120,,237011024,Reuse R3,Private,1,12/7/2006,20.891313,-156.460403,
-156.313573540723,20.8522595699042,20,"Hale Mahaolu Eha - 10,000 gpd",Maui,122,,224024003,WWTP,Private,2,NULL,20.852263,-156.313588,
-156.460943545796,20.8931315705228,21,"VIP Food Svc - 10,500 gpd",Maui,123,,237011006,WWTP,Private,2,4/30/1996,20.893135,-156.460958,
-156.638637552733,21.0068645740262,22,"The Plantation Club at Kapalua - 6,000 gpd",Maui,125,,242001001,WWTP,Private,2,6/24/1991,21.006868,-156.638652,
-156.510418545568,20.7969275650233,23,"Maalaea Triangle Development - 50,000 gpd",Maui,127,UM-1954,236008010,WWTP,Private,2,5/13/1996,20.796931,-156.510433,
-156.33287354093,20.8356135692475,24,"The Gardens Upcountry- 8,000 gpd",Maui,129,,223044031,WWTP,Private,1,7/15/2008,20.835617,-156.332888,
-156.322129541867,20.912734573027,25,"Haiku Market 10,000 GPD WWTP",Maui,129A,,227011050,WWTP,Private,2,10/9/2019,20.912738,-156.322144,
-156.250616537159,20.7151775644223,26,"Haleakala Natl Park Visitors Ctr - 9,700 gpd",Maui,131,UM-2700,223005001,WWTP,Public,1,8/3/2003,20.715181,-156.250631,
-156.044853530326,20.6615965650266,27,"Haleakala Natl Park - Kipahulu Comfort Station - 9,500 gpd",Maui,134,,223005001,WWTP,Public,1,3/9/2010,20.6616,-156.044868,
-156.646782550133,20.8488525657064,28,"Miller Residence (8 bedrms) - 1,600 gpd",Maui,135,,247013009,WWTP,Private,,12/6/2021,20.848856,-156.646797,
-156.357221540019,20.7024995620176,29,"Kula Hospital - 30,000 gpd",Maui,136,UM-2198,222004034,WWTP,Private,2,6/14/2012,20.702503,-156.357236,
-156.452927544358,20.8110445658055,30,"Pulehunui Industrial Park - 20,000 gpd",Maui,137,UM-2933,238008019,WWTP,Private,2,12/7/2018,20.811048,-156.452942,
-156.2354915396,20.9148205742327,31,"Nityakash LLCWWTP (7 bedrms) - 2,000 gpd",Maui,138,,229005014,WWTP,Private,,6/13/2022,20.914824,-156.235506,
-157.695391591864,21.3338185791897,32,"2,700 GPD WWTP for Waimanalo Beach Cottages",C&C Honolulu,200,,141004022,WWTP,Private,1,2/4/2022,21.333822,-157.695406,
-157.85627760038,21.5066695879888,33,"Coral Kingdom - 3,000 gpd",C&C Honolulu,201,UO-1465,149001017,WWTP,Private,2,4/21/1989,21.506673,-157.856292,
-157.672158590552,21.2884775767627,34,East Honolulu Community Svcs - 5.2 mgd (NPDES),C&C Honolulu,202,,139015025,WWTP,Private,4,NULL,21.288481,-157.672173,
